"Key_Species","Phytophthora","Eng_wEnv","Eng_trade","Eng_total","UK_total"
"Alnus glutinosa","P. × multiformis",NA,NA,1,2
"Alnus glutinosa","P. alni",5,NA,12,26
"Alnus glutinosa","P. plurivora",NA,NA,1,1
"Alnus incana","P. alni",2,NA,3,3
"Alnus incana","P. cinnamomi",1,1,2,4
"Alnus incana","P. siskiyouensis",NA,NA,3,6
"Juniperus communis","P. austrocedri",72,8,82,413
"Juniperus communis","P. castanetorum",NA,2,2,4
"Juniperus communis","P. cinnamomi",1,NA,1,3
"Juniperus communis","P. gonapodyides",NA,3,3,3
"Juniperus communis","P. pseudocryptogea",NA,1,1,2
"Juniperus communis","P. quercina",1,NA,1,1
"Juniperus communis","P. syringae",NA,1,1,2
"Juniperus communis","Unspecified species",19,9,30,39
"Larix decidua","P. cactorum",NA,NA,2,4
"Larix decidua","P. ramorum",1,NA,1,1
"Pinus sylvestris","P. chlamydospora",NA,1,1,1
"Pinus sylvestris","P. cryptogea",NA,1,1,2
"Pinus sylvestris","P. idaei",NA,1,1,1
"Pinus sylvestris","P. macrochlamydospora",NA,2,2,2
"Pinus sylvestris","P. obscura",NA,1,1,1
"Pinus sylvestris","P. plurivora",NA,1,1,2
"Pinus sylvestris","P. pseudocryptogea",NA,2,2,3
"Pinus sylvestris","P. pseudotsugae",NA,1,1,1
"Pinus sylvestris","P. ramorum",NA,1,1,1
"Pinus sylvestris","Unspecified species",NA,10,10,13
"Pseudotsuga menziesii","P. cinnamomi",1,NA,1,1
"Pseudotsuga menziesii","P. cryptogea",NA,1,1,3
"Pseudotsuga menziesii","P. foliorum",NA,1,1,3
"Pseudotsuga menziesii","P. megasperma",NA,1,1,2
"Pseudotsuga menziesii","P. obscura",NA,1,1,3
"Pseudotsuga menziesii","P. plurivora",NA,1,1,4
"Pseudotsuga menziesii","P. pseudocryptogea",NA,1,1,3
"Pseudotsuga menziesii","P. pseudotsugae",NA,1,1,4
"Pseudotsuga menziesii","Unspecified species",NA,4,4,21
"Quercus cerris","P. cinnamomi",NA,NA,1,2
"Quercus cerris","P. cryptogea",1,NA,1,1
"Quercus cerris","P. plurivora",1,NA,1,1
"Quercus cerris","P. ramorum",4,NA,5,8
"Quercus ilex","P. × cambivora",NA,1,1,1
"Quercus ilex","P. castanetorum",NA,2,2,3
"Quercus ilex","P. psychrophila",NA,1,1,1
"Quercus ilex","P. ramorum",29,19,48,56
"Quercus ilex","Unspecified species",1,2,3,6
"Quercus petraea","P. ramorum",NA,NA,1,2
"Quercus robur","P. × cambivora",NA,1,3,5
"Quercus robur","P. castanetorum",NA,1,1,4
"Quercus robur","P. cinnamomi",1,NA,1,1
"Quercus robur","P. kernoviae",4,NA,4,4
"Quercus robur","P. ramorum",4,NA,4,5
"Quercus robur","Unspecified species",NA,3,3,9
"Vaccinium myrtillus","P. kernoviae",70,NA,73,77
"Vaccinium myrtillus","P. pseudosyringae",25,NA,25,42
"Vaccinium myrtillus","P. ramorum",85,NA,85,93
"Vaccinium myrtillus","Unspecified species",20,NA,20,25
