"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Actinodium","Australasia","0","Yes","Yes","","","","",""
"Agathis","Asia-Tropical","0","Yes","","","","","",""
"Agathis","Pacific","0","","","","","","",""
"Agathis","Australasia","0","Yes","Yes","","","","",""
"Agathis","Africa","1","","","","","","",""
"Agonis","Australasia","0","Yes","Yes","","","","",""
"Alnus","Northern America","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southern America","both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Asia-Tropical","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Africa","both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Pacific","1","","","Yes","Yes","Yes","Yes","Yes"
"Amperea","Australasia","0","Yes","Yes","","","","",""
"Angophora","Australasia","0","Yes","Yes","","","","",""
"Antidesma","Australasia","0","","","","","","",""
"Antidesma","Africa","0","","","","","","",""
"Antidesma","Pacific","both","Yes","Yes","","","","",""
"Antidesma","Southern America","1","","","","","","",""
"Antidesma","Asia-Tropical","0","","","","","","",""
"Antidesma","Asia-Temperate","0","","","","","","",""
"Araucaria","Pacific","both","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Southern America","0","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Asia-Tropical","both","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Australasia","both","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Africa","1","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Europe","1","Yes","Yes","Yes","","Yes","","Yes"
"Archontophoenix","Pacific","1","","","","","","",""
"Archontophoenix","Australasia","both","Yes","Yes","","","","",""
"Archontophoenix","Southern America","1","","","","","","",""
"Aucuba","Europe","1","Yes","Yes","Yes","Yes","Yes","Yes",""
"Aucuba","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes",""
"Aucuba","Asia-Tropical","0","","","Yes","Yes","Yes","Yes",""
"Aucuba","Northern America","1","Yes","Yes","Yes","Yes","Yes","Yes",""
"Backhousia","Australasia","0","Yes","Yes","","","","",""
"Betula","Northern America","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Africa","0","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southern America","both","","","Yes","Yes","Yes","Yes","Yes"
"Caladenia","Australasia","0","Yes","Yes","","","","",""
"Caladenia","Asia-Tropical","0","","","","","","",""
"Caladenia","Pacific","0","","","","","","",""
"Caleana","Australasia","0","Yes","Yes","","","","",""
"Calytrix","Australasia","0","Yes","Yes","","","","",""
"Carpinus","Northern America","0","","","Yes","Yes","","","Yes"
"Carpinus","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Carpinus","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Carpinus","Asia-Tropical","0","Yes","","Yes","Yes","","","Yes"
"Carpinus","Southern America","0","","","Yes","Yes","","","Yes"
"Castanea","Northern America","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Asia-Temperate","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Africa","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanea","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
"Castanea","Southern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Castanopsis","Asia-Temperate","0","Yes","Yes","Yes","Yes","","",""
"Castanopsis","Asia-Tropical","0","Yes","Yes","Yes","Yes","","",""
"Chamelaucium","Australasia","both","Yes","Yes","","","","",""
"Chamelaucium","Northern America","1","","","","","","",""
"Cheirodendron","Pacific","0","Yes","Yes","","","","",""
"Chrysolepis","Northern America","0","Yes","Yes","","","","",""
"Cinchona","Southern America","both","Yes","Yes","","","","",""
"Cinchona","Northern America","1","","","","","","",""
"Cinchona","Africa","both","Yes","Yes","","","","",""
"Cinchona","Pacific","1","","","","","","",""
"Cinchona","Asia-Tropical","1","Yes","Yes","","","","",""
"Coleus","Africa","both","","","","","","",""
"Coleus","Southern America","1","Yes","","","","","",""
"Coleus","Australasia","both","Yes","Yes","","","","",""
"Coleus","Asia-Tropical","0","Yes","","","","","",""
"Coleus","Pacific","both","","","","","","",""
"Coleus","Northern America","1","Yes","","","","","",""
"Coleus","Asia-Temperate","0","","","","","","",""
"Colocasia","Asia-Tropical","both","Yes","","","","","",""
"Colocasia","Pacific","1","Yes","Yes","","","","",""
"Colocasia","Southern America","1","Yes","","","","","",""
"Colocasia","Australasia","1","","","","","","",""
"Colocasia","Africa","1","Yes","","","","","",""
"Colocasia","Northern America","1","","","","","","",""
"Colocasia","Europe","1","","","","","","",""
"Colocasia","Asia-Temperate","both","Yes","","","","","",""
"Coprosma","Asia-Tropical","0","","","","","","","Yes"
