"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Actinodium","Australia","Australasia","0","Yes","Yes","","","","",""
"Agathis","Malesia","Asia-Tropical","0","","","","","","",""
"Agathis","Southwestern Pacific","Pacific","0","","","","","","",""
"Agathis","Papuasia","Asia-Tropical","0","Yes","","","","","",""
"Agathis","Australia","Australasia","0","Yes","","","","","",""
"Agathis","Western Indian Ocean","Africa","1","","","","","","",""
"Agathis","West Tropical Africa","Africa","1","","","","","","",""
"Agathis","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Agonis","Australia","Australasia","0","Yes","Yes","","","","",""
"Alnus","North-Central U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northern Europe","Europe","both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Eastern Canada","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Western South America","Southern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northwestern U.S.A.","Northern America","0","","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Western Canada","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Middle Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Indian Subcontinent","Asia-Tropical","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Zealand","Australasia","1","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southwestern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southern South America","Southern America","both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Russian Far East","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","China","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northern Africa","Africa","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Subarctic America","Northern America","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Australia","Australasia","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Eastern Asia","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Eastern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Siberia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southern Africa","Africa","1","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southwestern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Western Asia","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Indo-China","Asia-Tropical","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","North-Central Pacific","Pacific","1","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southeastern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Middle Asia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Caucasus","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Macaronesia","Africa","1","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northern South America","Southern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Central America","Southern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mongolia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","South-Central U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes","Yes"
"Amperea","Australia","Australasia","0","Yes","Yes","","","","",""
"Angophora","Australia","Australasia","0","Yes","Yes","","","","",""
"Antidesma","Australia","Australasia","0","","","","","","",""
"Antidesma","West Tropical Africa","Africa","0","","","","","","",""
"Antidesma","West-Central Tropical Africa","Africa","0","","","","","","",""
"Antidesma","Southwestern Pacific","Pacific","0","","","","","","",""
"Antidesma","South-Central Pacific","Pacific","1","","","","","","",""
"Antidesma","East Tropical Africa","Africa","0","","","","","","",""
"Antidesma","Northeast Tropical Africa","Africa","0","","","","","","",""
"Antidesma","North-Central Pacific","Pacific","0","Yes","Yes","","","","",""
"Antidesma","Northwestern Pacific","Pacific","both","","","","","","",""
"Antidesma","Southern Africa","Africa","0","","","","","","",""
"Antidesma","South Tropical Africa","Africa","0","","","","","","",""
"Antidesma","Caribbean","Southern America","1","","","","","","",""
"Antidesma","Malesia","Asia-Tropical","0","","","","","","",""
"Antidesma","Indo-China","Asia-Tropical","0","","","","","","",""
"Antidesma","China","Asia-Temperate","0","","","","","","",""
"Antidesma","Eastern Asia","Asia-Temperate","0","","","","","","",""
"Antidesma","Western Indian Ocean","Africa","0","","","","","","",""
"Antidesma","Indian Subcontinent","Asia-Tropical","0","","","","","","",""
"Antidesma","Papuasia","Asia-Tropical","0","","","","","","",""
"Araucaria","Southwestern Pacific","Pacific","both","","","Yes","","Yes","","Yes"
"Araucaria","Southern South America","Southern America","0","Yes","","Yes","","Yes","","Yes"
"Araucaria","Brazil","Southern America","0","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Indian Subcontinent","Asia-Tropical","1","","","Yes","","Yes","","Yes"
"Araucaria","Australia","Australasia","0","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","New Zealand","Australasia","1","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Western Indian Ocean","Africa","1","","","Yes","","Yes","","Yes"
"Araucaria","South-Central Pacific","Pacific","1","","","Yes","","Yes","","Yes"
"Araucaria","Papuasia","Asia-Tropical","0","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Middle Atlantic Ocean","Africa","1","","","Yes","","Yes","","Yes"
"Araucaria","Northeast Tropical Africa","Africa","1","","","Yes","","Yes","","Yes"
"Araucaria","Northern Europe","Europe","1","Yes","","Yes","","Yes","","Yes"
"Archontophoenix","North-Central Pacific","Pacific","1","","","","","","",""
"Archontophoenix","Australia","Australasia","0","Yes","Yes","","","","",""
"Archontophoenix","Caribbean","Southern America","1","","","","","","",""
