"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Actinodium","Western Australia","Australia","Australasia",0,"","","","","","",""
"Agathis","Sulawesi","Malesia","Asia-Tropical",0,"","","","","","",""
"Agathis","Philippines","Malesia","Asia-Tropical",0,"","","","","","",""
"Agathis","Santa Cruz Is.","Southwestern Pacific","Pacific",0,"","","","","","",""
"Agathis","Vanuatu","Southwestern Pacific","Pacific",0,"","","","","","",""
"Agathis","Bismarck Archipelago","Papuasia","Asia-Tropical",0,"","","","","","",""
"Agathis","Maluku","Malesia","Asia-Tropical",0,"","","","","","",""
"Agathis","Malaya","Malesia","Asia-Tropical",0,"","","","","","",""
"Agathis","Queensland","Australia","Australasia",0,"","","","","","",""
"Agathis","Mauritius","Western Indian Ocean","Africa",1,"","","","","","",""
"Agathis","New Caledonia","Southwestern Pacific","Pacific",0,"","","","","","",""
"Agathis","Ivory Coast","West Tropical Africa","Africa",1,"","","","","","",""
"Agathis","New Zealand North","New Zealand","Australasia",0,"","","","","","",""
"Agathis","New Guinea","Papuasia","Asia-Tropical",0,"Yes","","","","","",""
"Agathis","Fiji","Southwestern Pacific","Pacific",0,"","","","","","",""
"Agathis","Borneo","Malesia","Asia-Tropical",0,"","","","","","",""
"Agathis","Sumatera","Malesia","Asia-Tropical",0,"","","","","","",""
"Agonis","Western Australia","Australia","Australasia",0,"Yes","","","","","",""
"Alnus","Minnesota","North-Central U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Denmark","Northern Europe","Europe",0,"Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Labrador","Eastern Canada","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Bolivia","Western South America","Southern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Québec","Eastern Canada","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Montana","Northwestern U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Saskatchewan","Western Canada","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Tennessee","Southeastern U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Iowa","North-Central U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Colorado","Northwestern U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Ontario","Eastern Canada","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Belgium","Middle Europe","Europe",0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Pakistan","Indian Subcontinent","Asia-Tropical",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Oklahoma","North-Central U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","East Himalaya","Indian Subcontinent","Asia-Tropical",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Oregon","Northwestern U.S.A.","Northern America",0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Nova Scotia","Eastern Canada","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Zealand South","New Zealand","Australasia",1,"","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Hampshire","Northeastern U.S.A.","Northern America",0,"","","Yes","Yes","Yes","Yes","Yes"
