"plant_name","plant_name_full","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Actinodium cunninghamii","Actinodium cunninghamii","Australia","Australasia","0","Yes","Yes","","","","",""
"Agathis australis","Agathis australis","New Zealand","Australasia","0","Yes","Yes","","","","",""
"Agonis flexuosa","Agonis flexuosa","Australia","Australasia","0","Yes","Yes","","","","",""
"Agonis theiformis","Agonis theiformis","Australia","Australasia","0","Yes","Yes","","","","",""
"Alnus alnobetula","Alnus alnobetula","Western Canada","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Eastern Canada","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Middle Europe","Europe","0","Yes","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Northwestern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southwestern Europe","Europe","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southeastern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Russian Far East","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Northeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Siberia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","China","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","New Zealand","Australasia","1","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Subarctic America","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Mongolia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","North-Central U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Eastern Europe","Europe","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southeastern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Southwestern U.S.A.","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Eastern Asia","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus cordata","Alnus cordata","Southeastern Europe","Europe","0","Yes","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Macaronesia","Africa","1","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Australia","Australasia","1","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Southwestern Europe","Europe","both","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Middle Europe","Europe","1","","","Yes","Yes","","",""
"Alnus firma","Alnus firma","Eastern Asia","Asia-Temperate","both","","","","","","",""
"Alnus glutinosa","Alnus glutinosa","Northeastern U.S.A.","Northern America","1","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southeastern Europe","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
