"Phytophthora","Host","Level.2","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus cordata","Northern Europe","Europe",1,NA
"P. alni","Alnus glutinosa","Eastern Europe","Europe",2,"Yes"
"P. alni","Alnus glutinosa","Middle Europe","Europe",93,"Yes"
"P. alni","Alnus glutinosa","North-Central U.S.A.","Northern America",1,"Yes"
"P. alni","Alnus glutinosa","Northern Europe","Europe",34,"Yes"
"P. alni","Alnus glutinosa","Southeastern Europe","Europe",7,"Yes"
"P. alni","Alnus glutinosa","Southwestern Europe","Europe",271,"Yes"
"P. alni","Alnus incana","Middle Europe","Europe",6,NA
"P. alni","Alnus incana","Northern Europe","Europe",5,NA
"P. austrocedri","Austrocedrus chilensis","Southern South America","Southern America",27,NA
"P. austrocedri","Cupressus sempervirens","Western Asia","Asia-Temperate",2,NA
"P. austrocedri","Ginkgo biloba","Middle Europe","Europe",2,NA
"P. austrocedri","Juniperus communis","Middle Europe","Europe",2,"Yes"
"P. austrocedri","Juniperus communis","Northern Europe","Europe",3,"Yes"
"P. austrocedri","Juniperus horizontalis","Middle Europe","Europe",1,"Yes"
"P. austrocedri","Metasequoia glyptostroboides","Middle Europe","Europe",2,NA
"P. austrocedri","Pinus nigra","Middle Europe","Europe",2,NA
"P. austrocedri","Thuja occidentalis",NA,NA,1,NA
"P. cinnamomi","Abelia parvifolia","New Zealand","Australasia",2,NA
"P. cinnamomi","Abelia schumannii","New Zealand","Australasia",2,NA
"P. cinnamomi","Abies alba","Middle Europe","Europe",2,NA
"P. cinnamomi","Abies alba","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Abies alba",NA,"Northern America",2,NA
"P. cinnamomi","Abies balsamea","Australia","Australasia",2,NA
"P. cinnamomi","Abies balsamea","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Abies balsamea",NA,"Northern America",2,NA
"P. cinnamomi","Abies concolor","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies concolor","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Abies concolor",NA,"Northern America",3,NA
"P. cinnamomi","Abies fraseri","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies fraseri","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Abies fraseri",NA,"Northern America",10,NA
"P. cinnamomi","Abies nordmanniana","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Abies nordmanniana","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Abies nordmanniana","Southwestern U.S.A.","Northern America",5,NA
"P. cinnamomi","Abies nordmanniana",NA,"Northern America",6,NA
"P. cinnamomi","Abies pinsapo","Australia","Australasia",1,NA
"P. cinnamomi","Abies pinsapo","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Abies procera","New Zealand","Australasia",1,NA
"P. cinnamomi","Abies procera","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies procera","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies procera",NA,"Northern America",1,NA
"P. cinnamomi","Abies sibirica",NA,"Northern America",2,NA
"P. cinnamomi","Acacia baileyana","New Zealand","Australasia",4,NA
"P. cinnamomi","Acacia celsa","Australia","Australasia",1,NA
"P. cinnamomi","Acacia dealbata","Australia","Australasia",2,NA
"P. cinnamomi","Acacia hamiltoniana","Australia","Australasia",1,NA
"P. cinnamomi","Acacia huegelii","Australia","Australasia",3,NA
"P. cinnamomi","Acacia koa","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Acacia melanoxylon","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Acacia melanoxylon",NA,"Northern America",1,NA
