"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. alni","Alnus alnobetula","Northern Europe","Europe",2,NA,1,NA,NA,1
"P. alni","Alnus cordata","Northern Europe","Europe",3,NA,NA,1,NA,2
"P. alni","Alnus glutinosa","Northern Europe","Europe",26,12,2,NA,NA,12
"P. alni","Alnus incana","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. alni","Taxus baccata","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","Austrocedrus chilensis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","Callitropsis nootkatensis","Northern Europe","Europe",4,1,1,NA,NA,2
"P. austrocedri","Chaenomeles × superba","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. austrocedri","Chamaecyparis lawsoniana","Northern Europe","Europe",16,13,3,NA,NA,NA
"P. austrocedri","Chamaecyparis obtusa","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. austrocedri","Fagus sylvatica","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. austrocedri","Juniperus chinensis","Northern Europe","Europe",5,2,3,NA,NA,NA
"P. austrocedri","Juniperus communis","Northern Europe","Europe",410,82,309,1,NA,18
"P. austrocedri","Juniperus horizontalis","Northern Europe","Europe",15,10,4,1,NA,NA
"P. austrocedri","Juniperus semiglobosa","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. austrocedri","Juniperus squamata","Northern Europe","Europe",12,8,3,NA,NA,1
"P. austrocedri","Juniperus × pfitzeriana","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. austrocedri","Microbiota decussata","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","Prunus laurocerasus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","× Hesperotropsis leylandii","Northern Europe","Europe",10,8,2,NA,NA,NA
"P. cinnamomi","Abies procera","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Acer negundo","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Alnus incana","Northern Europe","Europe",4,2,NA,NA,NA,2
"P. cinnamomi","Antirrhinum majus","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Arbutus unedo","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Aucuba japonica","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Banksia nobilis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Berberis darwinii","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Betula pendula","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Calluna vulgaris","Northern Europe","Europe",10,5,2,NA,NA,3
"P. cinnamomi","Camellia japonica","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. cinnamomi","Carpinus betulus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Castanea crenata","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Castanea sativa","Northern Europe","Europe",19,15,1,NA,NA,3
"P. cinnamomi","Cephalotaxus harringtonii","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. cinnamomi","Chaenomeles speciosa","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Chamaecyparis lawsoniana","Northern Europe","Europe",5,2,2,NA,NA,1
