"std_name_p","species","genus","location"
"P. infestans",NA,"acer","USSR"
"P. cactorum","boehmeria cylindrica","boehmeria","Russia"
"P. cactorum","boehmeria nivea","boehmeria","Russia"
"P. cactorum","boehmeria nivea","boehmeria","Russia"
"P. boehmeriae","boehmeria nivea","boehmeria","Russia"
"P. boehmeriae","boehmeria nivea","boehmeria","Russia"
"P. cactorum","cedrus deodara","cedrus","USSR"
"P. cinnamomi","tanacetum cinerariifolium","tanacetum","Russia"
"P. fragariae","fragaria × ananassa","fragaria","Russia"
"P. cryptogea",NA,"gerbera","USSR"
"P. cactorum","hevea brasiliensis","hevea","USSR"
"P. cactorum","lilium regale","lilium","Russia"
"P. capsici","solanum lycopersicum","solanum","USSR"
"P. infestans","solanum lycopersicum","solanum","Russia"
"P. cinnamomi",NA,"nicotiana","Russia"
"P. cactorum",NA,"panax","USSR"
"P. phaseoli","phaseolus lunatus","phaseolus","Russia"
"P. quercina","quercus robur","quercus","Russia"
"P. nicotianae","ricinus communis","ricinus","USSR"
"P. infestans","solanum dulcamara","solanum","Russia"
"P. infestans","solanum dulcamara","solanum","Russia"
"P. infestans","solanum melongena","solanum","Russia"
"P. infestans","solanum tuberosum","solanum","Russia"
"P. plurivora","× sorbocotoneaster pozdnjakovii","sorbocotoneaster","Russia"
"P. syringae","syringa vulgaris","syringa","USSR"
"P. infestans",NA,"tilia","USSR"
"P. plurivora","tripterygium regelii","tripterygium","Russia"
"P. plurivora","ulmus laevis","ulmus","Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
"P. infestans",NA,NA,"Russia"
