"Genus","Phytophthora","Scot_wEnv","Scot_trade","Scot_total","UK_total"
"Alnus","P. alni",1,NA,3,42
"Juniperus","P. austrocedri",311,10,331,526
"Juniperus","P. castanetorum",NA,3,3,6
"Juniperus","P. cinnamomi",NA,1,1,6
"Juniperus","P. citrophthora",NA,1,1,3
"Juniperus","P. foliorum",NA,1,1,1
"Juniperus","P. gonapodyides",NA,9,9,22
"Juniperus","P. idaei",NA,3,3,3
"Juniperus","P. lacustris",NA,4,4,4
"Juniperus","P. obscura",NA,1,1,1
"Juniperus","P. pachypleura",NA,1,1,1
"Juniperus","P. plurivora",NA,1,1,8
"Juniperus","P. pseudocryptogea",NA,2,2,5
"Juniperus","P. pseudotsugae",NA,1,1,1
"Juniperus","P. syringae",NA,5,5,8
"Juniperus","Unspecified species",NA,24,24,86
"Larix","P. pseudosyringae",3,NA,3,3
"Larix","P. ramorum",3186,NA,3188,4061
"Larix","Unspecified species",NA,1,1,11
"Nothofagus","P. pseudosyringae",2,NA,2,25
"Nothofagus","P. ramorum",NA,NA,1,5
"Pinus","P. × cambivora",NA,1,1,2
"Pinus","P. cinnamomi",NA,1,1,5
"Pinus","P. cryptogea",NA,1,1,7
"Pinus","P. hibernalis",NA,1,1,1
"Pinus","P. macrochlamydospora",NA,2,2,5
"Pinus","P. plurivora",NA,1,1,4
"Pinus","P. pseudocryptogea",NA,1,1,8
"Pinus","P. syringae",NA,1,1,1
"Pinus","P. uniformis",NA,1,1,1
"Pinus","Unspecified species",NA,4,4,30
"Populus","P. idaei",NA,2,2,2
"Populus","P. lacustris",NA,1,1,1
"Populus","Unspecified species",NA,2,2,2
"Pseudotsuga","P. bilorbang",NA,1,1,1
"Pseudotsuga","P. citricola",NA,2,2,3
"Pseudotsuga","P. cryptogea",NA,2,2,4
"Pseudotsuga","P. foliorum",NA,1,1,3
"Pseudotsuga","P. gonapodyides",NA,1,1,2
"Pseudotsuga","P. kelmanii",NA,2,2,2
"Pseudotsuga","P. lacustris",NA,1,1,1
"Pseudotsuga","P. marrasii",NA,1,1,1
"Pseudotsuga","P. nicotianae",NA,1,1,1
"Pseudotsuga","P. obscura",NA,1,1,3
"Pseudotsuga","P. plurivora",NA,4,4,6
"Pseudotsuga","P. pluvialis",2,NA,2,3
"Pseudotsuga","P. pseudocryptogea",NA,2,2,4
"Pseudotsuga","P. pseudotsugae",NA,4,4,5
"Pseudotsuga","P. syringae",NA,1,1,1
"Pseudotsuga","P. uliginosa",NA,2,2,2
"Pseudotsuga","Unspecified species",NA,17,17,31
"Quercus","P. cactorum",NA,NA,1,1
"Quercus","P. castanetorum",NA,5,5,9
"Quercus","P. foliorum",NA,1,1,1
"Quercus","P. gonapodyides",NA,3,3,6
"Quercus","P. inundata",NA,NA,5,5
"Quercus","P. nicotianae",NA,1,1,1
"Quercus","P. plurivora",NA,2,4,7
"Quercus","P. pseudosyringae",NA,NA,6,6
"Quercus","P. psychrophila",NA,1,1,2
"Quercus","P. quercina",NA,NA,1,4
"Quercus","P. syringae",NA,1,1,1
"Quercus","Unspecified species",NA,15,15,25
"Rhododendron","P. × cambivora",NA,3,3,7
"Rhododendron","P. cinnamomi",NA,3,3,26
"Rhododendron","P. cryptogea",1,1,2,12
"Rhododendron","P. foliorum",1,1,4,7
"Rhododendron","P. gonapodyides",NA,NA,1,2
"Rhododendron","P. hibernalis",NA,1,1,20
"Rhododendron","P. ilicis",NA,1,1,1
"Rhododendron","P. kernoviae",5,1,6,555
"Rhododendron","P. lateralis",NA,1,1,1
"Rhododendron","P. plurivora",NA,3,4,39
"Rhododendron","P. pseudosyringae",NA,1,1,2
"Rhododendron","P. ramorum",330,16,348,4710
"Rhododendron","P. rubi",NA,1,1,1
"Rhododendron","P. syringae",2,3,6,67
"Rhododendron","P. uniformis",NA,2,2,3
"Rhododendron","Unspecified species",NA,9,12,1137
"Tsuga","P. × cambivora",NA,1,1,1
"Tsuga","P. cinnamomi",NA,2,2,2
"Tsuga","P. cryptogea",NA,1,1,1
"Tsuga","P. pluvialis",28,NA,28,30
"Tsuga","P. pseudocryptogea",NA,1,1,1
"Tsuga","P. ramorum",10,NA,10,10
"Tsuga","P. uniformis",NA,1,1,1
"Tsuga","Unspecified species",NA,1,1,1
"Vaccinium","P. chlamydospora",1,NA,1,1
"Vaccinium","P. cinnamomi",NA,1,1,6
"Vaccinium","P. citricola",NA,1,1,1
"Vaccinium","P. plurivora",NA,NA,1,7
"Vaccinium","P. ramorum",2,NA,2,125
"Vaccinium","Unspecified species",NA,NA,2,67
