"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Betulaceae",435,2,363,70,"Yes"
"P. austrocedri","Cupressaceae",38,NA,NA,38,"Yes"
"P. austrocedri","Ginkgoaceae",2,NA,NA,2,NA
"P. austrocedri","Pinaceae",2,NA,NA,2,NA
"P. cinnamomi","Actinidiaceae",21,NA,NA,21,NA
"P. cinnamomi","Alstroemeriaceae",1,NA,NA,1,NA
"P. cinnamomi","Amaryllidaceae",3,NA,NA,3,NA
"P. cinnamomi","Anacardiaceae",1,NA,NA,1,NA
"P. cinnamomi","Apiaceae",2,NA,NA,2,NA
"P. cinnamomi","Apocynaceae",2,NA,NA,2,NA
"P. cinnamomi","Aquifoliaceae",17,NA,NA,17,"Yes"
"P. cinnamomi","Araceae",6,NA,NA,6,NA
"P. cinnamomi","Araliaceae",26,NA,NA,26,NA
"P. cinnamomi","Araucariaceae",102,1,1,100,NA
"P. cinnamomi","Arecaceae",4,NA,NA,4,NA
"P. cinnamomi","Argophyllaceae",4,NA,NA,4,NA
"P. cinnamomi","Asparagaceae",5,NA,NA,5,NA
"P. cinnamomi","Asphodelaceae",67,NA,NA,67,NA
"P. cinnamomi","Asteliaceae",4,NA,NA,4,NA
"P. cinnamomi","Asteraceae",36,NA,NA,36,"Yes"
"P. cinnamomi","Berberidaceae",1,NA,NA,1,NA
"P. cinnamomi","Berberidopsidaceae",2,NA,NA,2,NA
"P. cinnamomi","Betulaceae",23,NA,NA,23,NA
"P. cinnamomi","Bignoniaceae",8,NA,NA,8,NA
"P. cinnamomi","Blandfordiaceae",3,NA,NA,3,NA
"P. cinnamomi","Boraginaceae",2,NA,NA,2,NA
"P. cinnamomi","Brassicaceae",2,NA,1,1,NA
"P. cinnamomi","Bromeliaceae",179,NA,NA,179,NA
"P. cinnamomi","Bruniaceae",4,NA,NA,4,NA
"P. cinnamomi","Buxaceae",7,NA,NA,7,NA
"P. cinnamomi","Caprifoliaceae",5,NA,NA,5,NA
"P. cinnamomi","Caricaceae",4,NA,NA,4,NA
"P. cinnamomi","Casuarinaceae",49,NA,NA,49,NA
"P. cinnamomi","Cephalotaxaceae",5,NA,NA,5,NA
"P. cinnamomi","Cistaceae",6,NA,2,4,NA
"P. cinnamomi","Columelliaceae",2,NA,NA,2,NA
"P. cinnamomi","Coriariaceae",4,NA,NA,4,NA
"P. cinnamomi","Cornaceae",8,NA,NA,8,NA
"P. cinnamomi","Crassulaceae",2,NA,NA,2,NA
"P. cinnamomi","Cucurbitaceae",3,NA,NA,3,NA
"P. cinnamomi","Cunoniaceae",13,NA,NA,13,NA
"P. cinnamomi","Cupressaceae",149,10,4,135,"Yes"
"P. cinnamomi","Curtisiaceae",2,NA,NA,2,NA
"P. cinnamomi","Cyatheaceae",9,NA,NA,9,NA
"P. cinnamomi","Cyperaceae",7,NA,NA,7,NA
"P. cinnamomi","Cyrillaceae",1,NA,NA,1,NA
