"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Betulaceae",3,NA,1,2,"Yes"
"P. austrocedri","Cupressaceae",339,16,311,12,"Yes"
"P. austrocedri","Fagaceae",1,1,NA,NA,"Yes"
"P. austrocedri","Rosaceae",1,1,NA,NA,"Yes"
"P. cinnamomi","Aquifoliaceae",1,1,NA,NA,"Yes"
"P. cinnamomi","Asteraceae",2,1,NA,1,"Yes"
"P. cinnamomi","Cupressaceae",5,5,NA,NA,"Yes"
"P. cinnamomi","Ericaceae",14,9,3,2,"Yes"
"P. cinnamomi","Fagaceae",2,2,NA,NA,"Yes"
"P. cinnamomi","Garryaceae",1,1,NA,NA,"Yes"
"P. cinnamomi","Lauraceae",2,2,NA,NA,"Yes"
"P. cinnamomi","Oleaceae",1,1,NA,NA,"Yes"
"P. cinnamomi","Pinaceae",3,3,NA,NA,"Yes"
"P. cinnamomi","Rosaceae",3,2,NA,1,"Yes"
"P. cinnamomi","Taxaceae",4,4,NA,NA,"Yes"
"P. cinnamomi","Winteraceae",1,1,NA,NA,"Yes"
"P. kernoviae","Ericaceae",7,1,6,NA,"Yes"
"P. kernoviae","Fagaceae",1,NA,1,NA,"Yes"
"P. kernoviae","Magnoliaceae",1,NA,1,NA,"Yes"
"P. pluvialis","Pinaceae",30,NA,30,NA,"Yes"
"P. pseudosyringae","Betulaceae",1,1,NA,NA,"Yes"
"P. pseudosyringae","Ericaceae",3,2,1,NA,"Yes"
"P. pseudosyringae","Fagaceae",12,NA,3,9,"Yes"
"P. pseudosyringae","Magnoliaceae",3,NA,3,NA,"Yes"
"P. pseudosyringae","Nothofagaceae",2,NA,2,NA,"Yes"
"P. pseudosyringae","Pinaceae",3,NA,3,NA,"Yes"
"P. pseudosyringae","Sapindaceae",2,NA,NA,2,"Yes"
"P. ramorum","Cupressaceae",2,NA,NA,2,"Yes"
"P. ramorum","Ericaceae",368,23,343,2,"Yes"
"P. ramorum","Fagaceae",1,NA,1,NA,"Yes"
"P. ramorum","Garryaceae",1,NA,1,NA,"Yes"
"P. ramorum","Magnoliaceae",2,1,1,NA,"Yes"
"P. ramorum","Nothofagaceae",1,NA,NA,1,"Yes"
"P. ramorum","Oleaceae",1,1,NA,NA,"Yes"
"P. ramorum","Pinaceae",3224,NA,3222,2,"Yes"
"P. ramorum","Viburnaceae",15,2,12,1,"Yes"
