"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus",3,NA,1,2,"Yes"
"P. austrocedri","Callitropsis",1,NA,NA,1,"Yes"
"P. austrocedri","Chaenomeles",1,1,NA,NA,"Yes"
"P. austrocedri","Chamaecyparis",4,3,NA,1,"Yes"
"P. austrocedri","Cupressus",1,1,NA,NA,"Yes"
"P. austrocedri","Fagus",1,1,NA,NA,"Yes"
"P. austrocedri","Hesperotropsis",2,2,NA,NA,"Yes"
"P. austrocedri","Juniperus",331,10,311,10,"Yes"
"P. cinnamomi","Aucuba",1,1,NA,NA,"Yes"
"P. cinnamomi","Calluna",5,NA,3,2,"Yes"
"P. cinnamomi","Castanea",1,1,NA,NA,"Yes"
"P. cinnamomi","Chamaecyparis",3,3,NA,NA,"Yes"
"P. cinnamomi","Erica",2,2,NA,NA,"Yes"
"P. cinnamomi","Fagus",1,1,NA,NA,"Yes"
"P. cinnamomi","Fragaria",1,NA,NA,1,"Yes"
"P. cinnamomi","Gerbera",1,1,NA,NA,"Yes"
"P. cinnamomi","Ilex",1,1,NA,NA,"Yes"
"P. cinnamomi","Juniperus",1,1,NA,NA,"Yes"
"P. cinnamomi","Kalmia",2,2,NA,NA,"Yes"
"P. cinnamomi","Laurus",2,2,NA,NA,"Yes"
"P. cinnamomi","Osmanthus",1,1,NA,NA,"Yes"
"P. cinnamomi","Pericallis",1,NA,NA,1,"Yes"
"P. cinnamomi","Physocarpus",1,1,NA,NA,"Yes"
"P. cinnamomi","Pieris",1,1,NA,NA,"Yes"
"P. cinnamomi","Pinus",1,1,NA,NA,"Yes"
"P. cinnamomi","Prunus",1,1,NA,NA,"Yes"
"P. cinnamomi","Rhododendron",3,3,NA,NA,"Yes"
"P. cinnamomi","Sequoiadendron",1,1,NA,NA,"Yes"
"P. cinnamomi","Tasmannia",1,1,NA,NA,"Yes"
"P. cinnamomi","Taxus",4,4,NA,NA,"Yes"
"P. cinnamomi","Tsuga",2,2,NA,NA,"Yes"
"P. cinnamomi","Vaccinium",1,1,NA,NA,"Yes"
"P. kernoviae","Fagus",1,NA,1,NA,"Yes"
"P. kernoviae","Magnolia",1,NA,1,NA,"Yes"
"P. kernoviae","Pieris",1,NA,1,NA,"Yes"
"P. kernoviae","Rhododendron",6,1,5,NA,"Yes"
"P. pluvialis","Pseudotsuga",2,NA,2,NA,"Yes"
"P. pluvialis","Tsuga",28,NA,28,NA,"Yes"
"P. pseudosyringae","Acer",2,NA,NA,2,"Yes"
"P. pseudosyringae","Betula",1,1,NA,NA,"Yes"
"P. pseudosyringae","Fagus",6,NA,3,3,"Yes"
"P. pseudosyringae","Kalmia",1,1,NA,NA,"Yes"
"P. pseudosyringae","Larix",3,NA,3,NA,"Yes"
"P. pseudosyringae","Magnolia",3,NA,3,NA,"Yes"
"P. pseudosyringae","Nothofagus",2,NA,2,NA,"Yes"
"P. pseudosyringae","Pieris",1,NA,1,NA,"Yes"
"P. pseudosyringae","Quercus",6,NA,NA,6,"Yes"
"P. pseudosyringae","Rhododendron",1,1,NA,NA,"Yes"
"P. ramorum","Abies",1,NA,1,NA,"Yes"
"P. ramorum","Chamaecyparis",2,NA,NA,2,"Yes"
"P. ramorum","Fagus",1,NA,1,NA,"Yes"
"P. ramorum","Garrya",1,NA,1,NA,"Yes"
"P. ramorum","Kalmia",7,7,NA,NA,"Yes"
"P. ramorum","Larix",3188,NA,3186,2,"Yes"
"P. ramorum","Magnolia",2,1,1,NA,"Yes"
"P. ramorum","Nothofagus",1,NA,NA,1,"Yes"
"P. ramorum","Osmanthus",1,1,NA,NA,"Yes"
"P. ramorum","Picea",25,NA,25,NA,"Yes"
"P. ramorum","Pieris",11,NA,11,NA,"Yes"
"P. ramorum","Rhododendron",348,16,330,2,"Yes"
"P. ramorum","Tsuga",10,NA,10,NA,"Yes"
"P. ramorum","Vaccinium",2,NA,2,NA,"Yes"
"P. ramorum","Viburnum",15,2,12,1,"Yes"
