"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus",42,NA,13,29,"Yes"
"P. alni","Ceanothus",1,NA,1,NA,NA
"P. alni","Taxus",1,NA,1,NA,NA
"P. austrocedri","Austrocedrus",1,NA,1,NA,NA
"P. austrocedri","Callitropsis",4,NA,NA,4,"Yes"
"P. austrocedri","Chaenomeles",1,1,NA,NA,"Yes"
"P. austrocedri","Chamaecyparis",29,22,4,3,"Yes"
"P. austrocedri","Cupressus",1,1,NA,NA,"Yes"
"P. austrocedri","Fagus",1,1,NA,NA,"Yes"
"P. austrocedri","Hesperotropsis",10,10,NA,NA,"Yes"
"P. austrocedri","Juniperus",523,55,426,42,"Yes"
"P. austrocedri","Microbiota",1,NA,NA,1,NA
"P. austrocedri","Prunus",1,1,NA,NA,NA
"P. cinnamomi","Abies",1,1,NA,NA,NA
"P. cinnamomi","Acer",2,NA,NA,2,NA
"P. cinnamomi","Alnus",4,1,1,2,NA
"P. cinnamomi","Alstroemeria",2,NA,1,1,NA
"P. cinnamomi","Alternanthera",2,NA,1,1,NA
"P. cinnamomi","Antirrhinum",2,NA,NA,2,NA
"P. cinnamomi","Arbutus",4,NA,2,2,NA
"P. cinnamomi","Aucuba",5,1,2,2,"Yes"
"P. cinnamomi","Banksia",1,NA,1,NA,NA
"P. cinnamomi","Berberis",3,NA,1,2,NA
"P. cinnamomi","Betula",1,NA,1,NA,NA
"P. cinnamomi","Buxus",1,NA,1,NA,NA
"P. cinnamomi","Calluna",19,2,12,5,"Yes"
"P. cinnamomi","Camellia",8,6,1,1,NA
"P. cinnamomi","Carpinus",1,NA,1,NA,NA
"P. cinnamomi","Castanea",22,1,11,10,"Yes"
"P. cinnamomi","Cephalotaxus",1,NA,NA,1,NA
"P. cinnamomi","Chaenomeles",3,NA,1,2,NA
"P. cinnamomi","Chamaecyparis",9,6,3,NA,"Yes"
"P. cinnamomi","Choisya",4,1,2,1,NA
"P. cinnamomi","Cinnamomum",2,NA,2,NA,NA
"P. cinnamomi","Cornus",5,1,2,2,NA
"P. cinnamomi","Corylus",1,1,NA,NA,NA
"P. cinnamomi","Cotinus",1,1,NA,NA,NA
"P. cinnamomi","Crocus",1,NA,1,NA,NA
"P. cinnamomi","Cupressus",3,3,NA,NA,NA
"P. cinnamomi","Embothrium",1,NA,1,NA,NA
"P. cinnamomi","Erica",16,4,2,10,"Yes"
"P. cinnamomi","Euphorbia",3,1,1,1,NA
"P. cinnamomi","Fagus",9,3,NA,6,"Yes"
"P. cinnamomi","Fragaria",1,NA,NA,1,"Yes"
"P. cinnamomi","Gerbera",1,1,NA,NA,"Yes"
"P. cinnamomi","Hesperotropsis",1,1,NA,NA,NA
"P. cinnamomi","Hibiscus",2,NA,1,1,NA
"P. cinnamomi","Ilex",4,4,NA,NA,"Yes"
"P. cinnamomi","Juniperus",6,3,1,2,"Yes"
"P. cinnamomi","Kalmia",4,4,NA,NA,"Yes"
"P. cinnamomi","Laburnum",3,NA,1,2,NA
"P. cinnamomi","Laurus",8,6,2,NA,"Yes"
"P. cinnamomi","Lavandula",6,2,2,2,NA
"P. cinnamomi","Magnolia",2,1,1,NA,NA
"P. cinnamomi","Malus",3,NA,1,2,NA
"P. cinnamomi","Morus",2,NA,1,1,NA
"P. cinnamomi","Myrtus",5,1,2,2,NA
"P. cinnamomi","Osmanthus",1,1,NA,NA,"Yes"
"P. cinnamomi","Pericallis",3,NA,NA,3,"Yes"
"P. cinnamomi","Physocarpus",1,1,NA,NA,"Yes"
"P. cinnamomi","Pieris",6,6,NA,NA,"Yes"
"P. cinnamomi","Pinus",5,2,NA,3,"Yes"
"P. cinnamomi","Populus",2,NA,NA,2,NA
"P. cinnamomi","Prunus",5,2,3,NA,"Yes"
"P. cinnamomi","Pseudotsuga",1,NA,1,NA,NA
"P. cinnamomi","Quercus",5,1,1,3,NA
"P. cinnamomi","Rhododendron",26,6,14,6,"Yes"
"P. cinnamomi","Ribes",3,NA,1,2,NA
"P. cinnamomi","Rosa",6,NA,3,3,NA
"P. cinnamomi","Rubus",1,NA,1,NA,NA
"P. cinnamomi","Sequoiadendron",1,1,NA,NA,"Yes"
"P. cinnamomi","Syringa",1,1,NA,NA,NA
"P. cinnamomi","Tasmannia",1,1,NA,NA,"Yes"
"P. cinnamomi","Taxodium",1,NA,1,NA,NA
"P. cinnamomi","Taxus",129,16,111,2,"Yes"
"P. cinnamomi","Telopea",3,NA,1,2,NA
"P. cinnamomi","Tsuga",2,2,NA,NA,"Yes"
"P. cinnamomi","Vaccinium",7,6,2,NA,"Yes"
"P. cinnamomi","Veronica",2,1,1,NA,NA
"P. cinnamomi","Viburnum",7,1,5,1,NA
"P. cinnamomi","Vicia",1,NA,NA,1,NA
"P. cinnamomi","Wisteria",4,NA,2,2,NA
"P. kernoviae","Aesculus",1,NA,1,NA,NA
"P. kernoviae","Berberis",1,NA,1,NA,NA
"P. kernoviae","Camellia",3,1,2,NA,NA
"P. kernoviae","Castanea",1,NA,1,NA,NA
"P. kernoviae","Drimys",58,4,53,4,NA
"P. kernoviae","Fagus",11,NA,1,10,"Yes"
"P. kernoviae","Kalmia",1,NA,1,NA,NA
"P. kernoviae","Leucothoe",1,1,NA,NA,NA
"P. kernoviae","Magnolia",19,6,10,3,"Yes"
"P. kernoviae","Myrtus",1,NA,1,NA,NA
"P. kernoviae","Pieris",72,6,66,5,"Yes"
"P. kernoviae","Quercus",4,NA,4,NA,NA
"P. kernoviae","Rhododendron",544,27,512,16,"Yes"
"P. kernoviae","Sequoiadendron",1,NA,1,NA,NA
"P. kernoviae","Sorbus",1,1,NA,NA,NA
"P. kernoviae","Vaccinium",116,NA,109,7,NA
"P. pluvialis","Pseudotsuga",3,NA,3,NA,"Yes"
"P. pluvialis","Tsuga",30,NA,29,1,"Yes"
"P. pseudosyringae","Acer",2,NA,NA,2,"Yes"
"P. pseudosyringae","Betula",2,2,NA,NA,"Yes"
"P. pseudosyringae","Fagus",16,NA,7,9,"Yes"
"P. pseudosyringae","Ilex",1,NA,1,NA,NA
"P. pseudosyringae","Kalmia",1,1,NA,NA,"Yes"
"P. pseudosyringae","Larix",3,NA,3,NA,"Yes"
"P. pseudosyringae","Magnolia",3,NA,3,NA,"Yes"
"P. pseudosyringae","Nothofagus",23,NA,3,20,"Yes"
"P. pseudosyringae","Pieris",1,NA,1,NA,"Yes"
"P. pseudosyringae","Quercus",6,NA,NA,6,"Yes"
"P. pseudosyringae","Rhododendron",2,2,NA,NA,"Yes"
"P. pseudosyringae","Tilia",1,NA,NA,1,NA
"P. pseudosyringae","Vaccinium",55,1,47,7,NA
"P. pseudosyringae","Veronica",1,1,NA,NA,NA
"P. ramorum","Abies",4,1,2,2,"Yes"
"P. ramorum","Acer",9,NA,5,4,NA
"P. ramorum","Aesculus",2,NA,NA,2,NA
"P. ramorum","Agarista",2,1,NA,1,NA
"P. ramorum","Arbutus",1,NA,1,NA,NA
"P. ramorum","Aucuba",2,NA,2,NA,NA
"P. ramorum","Berberis",1,1,1,NA,NA
"P. ramorum","Betula",1,NA,NA,1,NA
"P. ramorum","Camellia",197,135,49,17,NA
"P. ramorum","Castanea",82,4,73,8,NA
"P. ramorum","Castanopsis",1,NA,NA,1,NA
"P. ramorum","Cedrus",1,NA,1,NA,NA
"P. ramorum","Cephalotaxus",1,NA,NA,1,NA
"P. ramorum","Chaenomeles",1,NA,NA,1,NA
"P. ramorum","Chamaecyparis",7,NA,1,6,"Yes"
"P. ramorum","Choisya",2,2,NA,NA,NA
"P. ramorum","Chrysojasminum",1,1,1,NA,NA
"P. ramorum","Cinnamomum",2,1,2,NA,NA
"P. ramorum","Cornus",18,3,17,NA,NA
"P. ramorum","Corylopsis",1,NA,1,NA,NA
"P. ramorum","Cotoneaster",3,1,3,NA,NA
"P. ramorum","Crataegus",1,NA,1,NA,NA
"P. ramorum","Daphne",1,1,1,NA,NA
"P. ramorum","Drimys",8,1,5,2,NA
"P. ramorum","Elaeagnus",1,NA,1,NA,NA
"P. ramorum","Euonymus",1,1,1,NA,NA
"P. ramorum","Exochorda",1,NA,1,NA,NA
