"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus alnobetula",2,NA,NA,2,"Yes"
"P. alni","Alnus cordata",3,NA,1,2,NA
"P. alni","Alnus glutinosa",26,NA,9,17,"Yes"
"P. alni","Alnus incana",3,NA,2,1,NA
"P. alni","Taxus baccata",1,NA,1,NA,NA
"P. austrocedri","Austrocedrus chilensis",1,NA,1,NA,NA
"P. austrocedri","Callitropsis nootkatensis",4,NA,NA,4,"Yes"
"P. austrocedri","Chaenomeles × superba",1,1,NA,NA,"Yes"
"P. austrocedri","Chamaecyparis lawsoniana",16,11,3,2,"Yes"
"P. austrocedri","Chamaecyparis obtusa",2,2,NA,NA,NA
"P. austrocedri","Fagus sylvatica",1,1,NA,NA,"Yes"
"P. austrocedri","Juniperus chinensis",5,4,1,NA,"Yes"
"P. austrocedri","Juniperus communis",413,11,372,30,"Yes"
"P. austrocedri","Juniperus horizontalis",15,11,2,2,"Yes"
"P. austrocedri","Juniperus semiglobosa",2,2,NA,NA,NA
"P. austrocedri","Juniperus squamata",12,9,3,NA,"Yes"
"P. austrocedri","Juniperus × pfitzeriana",2,NA,2,NA,NA
"P. austrocedri","Microbiota decussata",1,NA,NA,1,NA
"P. austrocedri","Prunus laurocerasus",1,1,NA,NA,NA
"P. austrocedri","× hesperotropsis leylandii",10,10,NA,NA,"Yes"
"P. cinnamomi","Abies procera",1,1,NA,NA,NA
"P. cinnamomi","Acer negundo",2,NA,NA,2,NA
"P. cinnamomi","Alnus incana",4,1,1,2,NA
"P. cinnamomi","Antirrhinum majus",2,NA,NA,2,NA
"P. cinnamomi","Arbutus unedo",3,NA,1,2,NA
"P. cinnamomi","Aucuba japonica",2,NA,NA,2,NA
"P. cinnamomi","Banksia nobilis",1,NA,1,NA,NA
"P. cinnamomi","Berberis darwinii",3,NA,1,2,NA
"P. cinnamomi","Betula pendula",1,NA,1,NA,NA
"P. cinnamomi","Calluna vulgaris",11,1,4,6,"Yes"
"P. cinnamomi","Camellia japonica",4,3,1,NA,NA
"P. cinnamomi","Carpinus betulus",1,NA,1,NA,NA
"P. cinnamomi","Castanea crenata",2,NA,NA,2,NA
"P. cinnamomi","Castanea sativa",20,1,10,9,"Yes"
"P. cinnamomi","Cephalotaxus harringtonii",1,NA,NA,1,NA
"P. cinnamomi","Chaenomeles speciosa",2,NA,NA,2,NA
"P. cinnamomi","Chamaecyparis lawsoniana",5,3,2,NA,"Yes"
"P. cinnamomi","Choisya × dewitteana",1,1,NA,NA,NA
"P. cinnamomi","Cinnamomum verum",2,NA,2,NA,NA
"P. cinnamomi","Cornus mas",3,NA,1,2,NA
"P. cinnamomi","Cornus sanguinea",1,1,NA,NA,NA
"P. cinnamomi","Corylus avellana",1,1,NA,NA,NA
"P. cinnamomi","Cotinus coggygria",1,1,NA,NA,NA
"P. cinnamomi","Cupressus sempervirens",3,3,NA,NA,NA
"P. cinnamomi","Embothrium coccineum",1,NA,1,NA,NA
"P. cinnamomi","Erica ciliaris",3,NA,1,2,NA
"P. cinnamomi","Erica cinerea",5,2,1,2,"Yes"
"P. cinnamomi","Erica hiemalis",5,NA,NA,5,NA
"P. cinnamomi","Erica tetralix",1,1,NA,NA,NA
"P. cinnamomi","Erica × darleyensis",1,1,NA,NA,NA
"P. cinnamomi","Euphorbia × martini",1,1,NA,NA,NA
"P. cinnamomi","Fagus sylvatica",10,3,NA,7,"Yes"
"P. cinnamomi","Ilex aquifolium",3,3,NA,NA,"Yes"
"P. cinnamomi","Ilex × meserveae",1,1,NA,NA,NA
"P. cinnamomi","Juniperus communis",3,NA,1,2,NA
"P. cinnamomi","Juniperus squamata",3,3,NA,NA,"Yes"
"P. cinnamomi","Laburnum × watereri",3,NA,1,2,NA
"P. cinnamomi","Laurus nobilis",8,6,2,NA,"Yes"
"P. cinnamomi","Lavandula angustifolia",2,NA,1,1,NA
"P. cinnamomi","Lavandula dentata",1,1,NA,NA,NA
"P. cinnamomi","Lavandula latifolia",1,NA,NA,1,NA
"P. cinnamomi","Magnolia grandiflora",1,1,NA,NA,NA
"P. cinnamomi","Magnolia × soulangeana",1,NA,1,NA,NA
"P. cinnamomi","Malus domestica",2,NA,NA,2,NA
"P. cinnamomi","Myrtus communis",3,1,NA,2,NA
"P. cinnamomi","Pericallis cruenta",3,NA,NA,3,"Yes"
"P. cinnamomi","Physocarpus opulifolius",1,1,NA,NA,"Yes"
"P. cinnamomi","Pieris japonica",4,4,NA,NA,NA
"P. cinnamomi","Pinus contorta",1,1,NA,NA,"Yes"
"P. cinnamomi","Populus lasiocarpa",2,NA,NA,2,NA
"P. cinnamomi","Prunus domestica",1,NA,1,NA,NA
"P. cinnamomi","Prunus incisa",1,1,NA,NA,NA
"P. cinnamomi","Prunus laurocerasus",1,NA,1,NA,NA
"P. cinnamomi","Prunus lusitanica",1,1,NA,NA,"Yes"
"P. cinnamomi","Pseudotsuga menziesii",1,NA,1,NA,NA
"P. cinnamomi","Quercus cerris",2,NA,NA,2,NA
"P. cinnamomi","Quercus robur",1,NA,1,NA,NA
