"Genus","Phytophthora","Wal_wEnv","Wal_trade","Wal_total","UK_total"
"Alnus","P. alni",1,NA,1,42
"Alnus","P. syringae",1,NA,1,3
"Alnus","P. uniformis",NA,1,1,2
"Alnus","Unspecified species",NA,1,1,2
"Juniperus","P. austrocedri",3,3,9,526
"Juniperus","P. castanetorum",NA,1,1,6
"Juniperus","P. gonapodyides",NA,1,1,22
"Juniperus","P. hibernalis",1,NA,1,1
"Juniperus","Unspecified species",NA,3,3,86
"Larix","P. ramorum",1,NA,1,4061
"Larix","Unspecified species",8,NA,8,11
"Pinus","P. cryptogea",NA,3,3,7
"Pinus","P. idaei",NA,1,1,2
"Pinus","P. kelmanii",NA,1,1,1
"Pinus","P. megasperma",NA,1,1,2
"Pinus","P. pseudocryptogea",NA,3,3,8
"Pinus","Unspecified species",NA,7,7,30
"Pseudotsuga","P. citricola",NA,1,1,3
"Pseudotsuga","P. cryptogea",NA,1,1,4
"Pseudotsuga","P. foliorum",NA,1,1,3
"Pseudotsuga","P. gonapodyides",NA,1,1,2
"Pseudotsuga","P. megasperma",NA,1,1,2
"Pseudotsuga","P. obscura",NA,1,1,3
"Pseudotsuga","P. plurivora",NA,1,1,6
"Pseudotsuga","P. pseudocryptogea",NA,1,1,4
"Pseudotsuga","Unspecified species",NA,10,10,31
"Quercus","P. castanetorum",NA,1,1,9
"Quercus","P. obscura",NA,1,1,1
"Quercus","P. ramorum",6,NA,6,80
"Quercus","Unspecified species",NA,2,2,25
"Rhododendron","P. cactorum",8,NA,8,42
"Rhododendron","P. citricola",4,1,5,33
"Rhododendron","P. citrophthora",3,NA,3,9
"Rhododendron","P. kernoviae",93,NA,93,555
"Rhododendron","P. ramorum",441,17,467,4710
"Rhododendron","P. syringae",1,NA,1,67
"Rhododendron","Unspecified species",155,30,187,1137
"Vaccinium","P. pseudosyringae",18,NA,18,55
"Vaccinium","P. ramorum",15,NA,15,125
"Vaccinium","Unspecified species",17,NA,17,67
