"std_name_p","species","genus","L1.name","L2.name","L3.name","L4.name"
"P. citrophthora","Citrus × microcarpa","Citrus","Europe","Northern Europe","Great Britain","Great Britain"
"P. gonapodyides","× Hesperotropsis leylandii","Hesperotropsis","Europe","Northern Europe","Great Britain","Great Britain"
"P. cryptogea","× Hesperotropsis leylandii","Hesperotropsis","Europe","Northern Europe","Great Britain","Great Britain"
"P. cactorum","Aesculus × carnea","Aesculus","Europe","Middle Europe","Czechoslovakia","Czech Republic"
"P. plurivora",NA,"Abelia","Europe","Southwestern Europe","Spain","Spain"
"P. multivora","Abelia × grandiflora","Abelia","Europe","Northern Europe","Great Britain","Great Britain"
"P. cinnamomi","Abelia schumannii","Abelia","Australasia","New Zealand",NA,NA
"P. nicotianae","Abelmoschus esculentus","Abelmoschus","Northern America","Southwestern U.S.A.","California","California"
"P. nicotianae","Abelmoschus esculentus","Abelmoschus","Asia-Temperate","Western Asia","Iraq","Iraq"
"P. capsici","Abelmoschus esculentus","Abelmoschus","Northern America",NA,NA,NA
"P. palmivora","Abelmoschus esculentus","Abelmoschus","Asia-Tropical","Indian Subcontinent","India",NA
"P. nicotianae","Abelmoschus manihot","Abelmoschus","Asia-Temperate","Eastern Asia","Japan",NA
"P. nicotianae","Abelmoschus manihot","Abelmoschus","Pacific","Southwestern Pacific","Fiji","Fiji"
"P. nicotianae","Abelmoschus manihot","Abelmoschus","Asia-Tropical","Papuasia","New Guinea","Papua New Guinea"
"P. cinnamomi",NA,"Abies","Europe","Southwestern Europe","Spain","Spain"
"P. personensis",NA,"Abies","Europe","Northern Europe","Norway","Norway"
"P. ramorum",NA,"Abies","Europe","Northern Europe","Ireland","Ireland"
"P. ramorum",NA,"Abies",NA,NA,NA,NA
"P. cinnamomi",NA,"Abies","Australasia","New Zealand",NA,NA
"P. citrophthora",NA,"Abies","Europe","Northern Europe","Great Britain","Great Britain"
"P. × cambivora",NA,"Abies","Northern America","Northwestern U.S.A.","Oregon","Oregon"
"P. kelmanii",NA,"Abies","Northern America",NA,NA,NA
