"Genus","Phytophthora","wEnv","Trade","Level.4","Level.3","Level.2","Level.1","UK","Scot","Eng","Wales","N.I"
"Vaccinium","Unspecified species",NA,NA,"Germany","Middle Europe","Europe",NA,NA,NA,NA,NA,1
"Vaccinium","Unspecified species",NA,NA,"Yugoslavia","Southeastern Europe","Europe",NA,NA,NA,NA,NA,1
"Vaccinium","Unspecified species",NA,NA,"British Columbia","Western Canada","Northern America",NA,NA,NA,NA,NA,1
"Vaccinium","P. ramorum",NA,NA,"Washington","Northwestern U.S.A.","Northern America","YES","YES","YES","YES",NA,1
"Vaccinium","P. ramorum","Yes",NA,"Oregon","Northwestern U.S.A.","Northern America","YES","YES","YES","YES",NA,1
"Vaccinium","P. ramorum",NA,NA,"California","Southwestern U.S.A.","Northern America","YES","YES","YES","YES",NA,1
"Vaccinium","P. ramorum",NA,NA,"Norway","Northern Europe","Europe","YES","YES","YES","YES",NA,1
"Vaccinium","P. ramorum","Yes",NA,"Ireland","Northern Europe","Europe","YES","YES","YES","YES",NA,1
"Vaccinium","P. ramorum",NA,NA,NA,NA,"Northern America","YES","YES","YES","YES",NA,1
"Vaccinium","P. polonica","Yes",NA,"Yugoslavia","Southeastern Europe","Europe",NA,NA,NA,NA,NA,NA
"Vaccinium","P. plurivora",NA,"Yes","Czechoslovakia","Middle Europe","Europe","YES","YES","YES",NA,NA,1
"Vaccinium","P. pini",NA,"Yes","Yugoslavia","Southeastern Europe","Europe",NA,NA,NA,NA,NA,NA
"Vaccinium","P. parvispora",NA,NA,NA,"China","Asia-Temperate",NA,NA,NA,NA,NA,1
"Vaccinium","P. niederhauserii",NA,NA,NA,"Australia","Australasia",NA,NA,NA,NA,NA,1
"Vaccinium","P. megasperma",NA,NA,NA,NA,"Northern America",NA,NA,NA,NA,NA,1
"Vaccinium","P. megasperma",NA,NA,"Wisconsin","North-Central U.S.A.","Northern America",NA,NA,NA,NA,NA,1
"Vaccinium","P. megasperma",NA,NA,"Massachusetts","Northeastern U.S.A.","Northern America",NA,NA,NA,NA,NA,1
"Vaccinium","P. hedraiandra",NA,NA,"Norway","Northern Europe","Europe",NA,NA,NA,NA,NA,1
"Vaccinium","P. gregata","Yes",NA,"Yugoslavia","Southeastern Europe","Europe",NA,NA,NA,NA,NA,NA
"Vaccinium","P. cryptogea",NA,NA,NA,NA,"Northern America","YES",NA,"YES",NA,NA,1
"Vaccinium","P. cryptogea",NA,NA,"Massachusetts","Northeastern U.S.A.","Northern America","YES",NA,"YES",NA,NA,1
"Vaccinium","P. cryptogea",NA,NA,"Oregon","Northwestern U.S.A.","Northern America","YES",NA,"YES",NA,NA,1
"Vaccinium","P. cryptogea",NA,NA,"Wisconsin","North-Central U.S.A.","Northern America","YES",NA,"YES",NA,NA,1
"Vaccinium","P. cryptogea","Yes",NA,"Yugoslavia","Southeastern Europe","Europe","YES",NA,"YES",NA,NA,NA
"Vaccinium","P. citricola",NA,NA,"Poland","Middle Europe","Europe","YES","YES",NA,NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"Colombia","Western South America","Southern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,NA,"Australia","Australasia","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"Massachusetts","Northeastern U.S.A.","Northern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi","Yes","Yes","Austria","Middle Europe","Europe","YES","YES","YES",NA,NA,NA
"Vaccinium","P. cinnamomi",NA,NA,"Italy","Southeastern Europe","Europe","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"California","Southwestern U.S.A.","Northern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"British Columbia","Western Canada","Northern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,NA,"New Zealand","Australasia","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"Arkansas","Southeastern U.S.A.","Northern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"Mexico Southwest","Mexico","Northern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,"New Jersey","Northeastern U.S.A.","Northern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi",NA,NA,NA,"Southern South America","Southern America","YES","YES","YES",NA,NA,1
"Vaccinium","P. cinnamomi","Yes",NA,"Yugoslavia","Southeastern Europe","Europe","YES","YES","YES",NA,NA,NA
"Vaccinium","P. cinnamomi",NA,NA,"Germany","Middle Europe","Europe","YES","YES","YES",NA,NA,1
