"plant_genus","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Actinodium","Australasia","No","Yes","Yes","","","","",""
"Agathis","Asia-Tropical","No","Yes","","","","","",""
"Agathis","Pacific","No","","","","","","",""
"Agathis","Australasia","No","Yes","Yes","","","","",""
"Agathis","Africa","Yes","","","","","","",""
"Agonis","Australasia","No","Yes","Yes","","","","",""
"Alnus","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southern America","Both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Asia-Tropical","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Australasia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Africa","Both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Pacific","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Amperea","Australasia","No","Yes","Yes","","","","",""
"Angophora","Australasia","No","Yes","Yes","","","","",""
"Antidesma","Australasia","No","","","","","","",""
"Antidesma","Africa","No","","","","","","",""
"Antidesma","Pacific","Both","Yes","Yes","","","","",""
"Antidesma","Southern America","Yes","","","","","","",""
"Antidesma","Asia-Tropical","No","","","","","","",""
"Antidesma","Asia-Temperate","No","","","","","","",""
"Araucaria","Pacific","Both","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Southern America","No","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Asia-Tropical","Both","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Australasia","Both","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Africa","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Europe","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Archontophoenix","Pacific","Yes","","","","","","",""
"Archontophoenix","Australasia","Both","Yes","Yes","","","","",""
"Archontophoenix","Southern America","Yes","","","","","","",""
"Aucuba","Europe","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Aucuba","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes",""
"Aucuba","Asia-Tropical","No","","","Yes","Yes","Yes","Yes",""
"Aucuba","Northern America","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Backhousia","Australasia","No","Yes","Yes","","","","",""
"Betula","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Australasia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southern America","Both","","","Yes","Yes","Yes","Yes","Yes"
"Caladenia","Australasia","No","Yes","Yes","","","","",""
"Caladenia","Asia-Tropical","No","","","","","","",""
"Caladenia","Pacific","No","","","","","","",""
