"plant_genus","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Actinodium","Australia","Australasia","No","Yes","Yes","","","","",""
"Agathis","Malesia","Asia-Tropical","No","","","","","","",""
"Agathis","Southwestern Pacific","Pacific","No","","","","","","",""
"Agathis","Papuasia","Asia-Tropical","No","Yes","","","","","",""
"Agathis","Australia","Australasia","No","Yes","","","","","",""
"Agathis","Western Indian Ocean","Africa","Yes","","","","","","",""
"Agathis","West Tropical Africa","Africa","Yes","","","","","","",""
"Agathis","New Zealand","Australasia","No","Yes","Yes","","","","",""
"Agonis","Australia","Australasia","No","Yes","Yes","","","","",""
"Alnus","North-Central U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northern Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Western South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northwestern U.S.A.","Northern America","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","New Zealand","Australasia","Yes","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southwestern U.S.A.","Northern America","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southern South America","Southern America","Both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northern Africa","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Subarctic America","Northern America","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Australia","Australasia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Eastern Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mexico","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Eastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southern Africa","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Western Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Indo-China","Asia-Tropical","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","North-Central Pacific","Pacific","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Southeastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Middle Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Caucasus","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Macaronesia","Africa","Yes","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Northern South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Central America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Mongolia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","South-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Amperea","Australia","Australasia","No","Yes","Yes","","","","",""
"Angophora","Australia","Australasia","No","Yes","Yes","","","","",""
"Antidesma","Australia","Australasia","No","","","","","","",""
"Antidesma","West Tropical Africa","Africa","No","","","","","","",""
"Antidesma","West-Central Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Southwestern Pacific","Pacific","No","","","","","","",""
"Antidesma","South-Central Pacific","Pacific","Yes","","","","","","",""
"Antidesma","East Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Northeast Tropical Africa","Africa","No","","","","","","",""
"Antidesma","North-Central Pacific","Pacific","No","Yes","Yes","","","","",""
"Antidesma","Northwestern Pacific","Pacific","Both","","","","","","",""
"Antidesma","Southern Africa","Africa","No","","","","","","",""
"Antidesma","South Tropical Africa","Africa","No","","","","","","",""
"Antidesma","Caribbean","Southern America","Yes","","","","","","",""
"Antidesma","Malesia","Asia-Tropical","No","","","","","","",""
"Antidesma","Indo-China","Asia-Tropical","No","","","","","","",""
"Antidesma","China","Asia-Temperate","No","","","","","","",""
"Antidesma","Eastern Asia","Asia-Temperate","No","","","","","","",""
"Antidesma","Western Indian Ocean","Africa","No","","","","","","",""
"Antidesma","Indian Subcontinent","Asia-Tropical","No","","","","","","",""
"Antidesma","Papuasia","Asia-Tropical","No","","","","","","",""
"Araucaria","Southwestern Pacific","Pacific","Both","","","Yes","","Yes","","Yes"
"Araucaria","Southern South America","Southern America","No","Yes","","Yes","","Yes","","Yes"
"Araucaria","Brazil","Southern America","No","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Indian Subcontinent","Asia-Tropical","Yes","","","Yes","","Yes","","Yes"
"Araucaria","Australia","Australasia","No","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","New Zealand","Australasia","Yes","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Western Indian Ocean","Africa","Yes","","","Yes","","Yes","","Yes"
"Araucaria","South-Central Pacific","Pacific","Yes","","","Yes","","Yes","","Yes"
"Araucaria","Papuasia","Asia-Tropical","No","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria","Middle Atlantic Ocean","Africa","Yes","","","Yes","","Yes","","Yes"
"Araucaria","Northeast Tropical Africa","Africa","Yes","","","Yes","","Yes","","Yes"
"Araucaria","Northern Europe","Europe","Yes","Yes","","Yes","","Yes","","Yes"
"Archontophoenix","North-Central Pacific","Pacific","Yes","","","","","","",""
"Archontophoenix","Australia","Australasia","No","Yes","Yes","","","","",""
"Archontophoenix","Caribbean","Southern America","Yes","","","","","","",""
"Archontophoenix","New Zealand","Australasia","Yes","","","","","","",""
"Aucuba","Middle Europe","Europe","Yes","","","Yes","Yes","Yes","Yes",""
"Aucuba","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Aucuba","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes",""
"Aucuba","Indo-China","Asia-Tropical","No","","","Yes","Yes","Yes","Yes",""
"Aucuba","Eastern Asia","Asia-Temperate","No","Yes","","Yes","Yes","Yes","Yes",""
"Aucuba","Northwestern U.S.A.","Northern America","Yes","","","Yes","Yes","Yes","Yes",""
"Aucuba","Southeastern U.S.A.","Northern America","Yes","Yes","Yes","Yes","Yes","Yes","Yes",""
"Aucuba","Southwestern Europe","Europe","Yes","","","Yes","Yes","Yes","Yes",""
"Backhousia","Australia","Australasia","No","Yes","Yes","","","","",""
"Betula","Northeastern U.S.A.","Northern America","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Mongolia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Middle Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southwestern U.S.A.","Northern America","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Betula","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southwestern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Indo-China","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Northern Europe","Europe","Both","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","New Zealand","Australasia","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Betula","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Northern Africa","Africa","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes","Yes"
"Betula","Eastern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
