"plant_genus","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","In.GB"
"Actinodium","Western Australia","Australia","Australasia","No","","","","","","",""
"Agathis","Sulawesi","Malesia","Asia-Tropical","No","","","","","","",""
"Agathis","Philippines","Malesia","Asia-Tropical","No","","","","","","",""
"Agathis","Santa Cruz Is.","Southwestern Pacific","Pacific","No","","","","","","",""
"Agathis","Vanuatu","Southwestern Pacific","Pacific","No","","","","","","",""
"Agathis","Bismarck Archipelago","Papuasia","Asia-Tropical","No","","","","","","",""
"Agathis","Maluku","Malesia","Asia-Tropical","No","","","","","","",""
"Agathis","Malaya","Malesia","Asia-Tropical","No","","","","","","",""
"Agathis","Queensland","Australia","Australasia","No","","","","","","",""
"Agathis","Mauritius","Western Indian Ocean","Africa","Yes","","","","","","",""
"Agathis","New Caledonia","Southwestern Pacific","Pacific","No","","","","","","",""
"Agathis","Ivory Coast","West Tropical Africa","Africa","Yes","","","","","","",""
"Agathis","New Zealand North","New Zealand","Australasia","No","","","","","","",""
"Agathis","New Guinea","Papuasia","Asia-Tropical","No","Yes","","","","","",""
"Agathis","Fiji","Southwestern Pacific","Pacific","No","","","","","","",""
"Agathis","Borneo","Malesia","Asia-Tropical","No","","","","","","",""
"Agathis","Sumatera","Malesia","Asia-Tropical","No","","","","","","",""
"Agonis","Western Australia","Australia","Australasia","No","Yes","","","","","",""
"Alnus","Minnesota","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Denmark","Northern Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Labrador","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Bolivia","Western South America","Southern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Québec","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Montana","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Saskatchewan","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Tennessee","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Iowa","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Colorado","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Ontario","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Belgium","Middle Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus","Pakistan","Indian Subcontinent","Asia-Tropical","No","","","Yes","Yes","Yes","Yes","Yes"
"Alnus","Oklahoma","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes","Yes"
