"plant_name","plant_name_full","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Actinodium cunninghamii","Actinodium cunninghamii","Australasia","0","Yes","Yes","","","","",""
"Agathis australis","Agathis australis","Australasia","0","Yes","Yes","","","","",""
"Agonis flexuosa","Agonis flexuosa","Australasia","0","Yes","Yes","","","","",""
"Agonis theiformis","Agonis theiformis","Australasia","0","Yes","Yes","","","","",""
"Alnus alnobetula","Alnus alnobetula","Northern America","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Asia-Temperate","0","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Australasia","1","","","Yes","Yes","Yes","Yes",""
"Alnus cordata","Alnus cordata","Europe","both","Yes","Yes","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Africa","1","","","Yes","Yes","","",""
"Alnus cordata","Alnus cordata","Australasia","1","Yes","","Yes","Yes","","",""
"Alnus firma","Alnus firma","Asia-Temperate","both","","","","","","",""
"Alnus glutinosa","Alnus glutinosa","Northern America","1","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Europe","0","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Australasia","1","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Asia-Temperate","0","Yes","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Southern America","1","","","Yes","Yes","Yes","Yes","Yes"
"Alnus glutinosa","Alnus glutinosa","Africa","both","","","Yes","Yes","Yes","Yes","Yes"
"Alnus incana","Alnus incana","Europe","both","Yes","Yes","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Northern America","0","Yes","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Southern America","1","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Asia-Temperate","0","","","Yes","Yes","","","Yes"
"Alnus incana","Alnus incana","Africa","1","","","Yes","Yes","","","Yes"
"Alnus rubra","Alnus rubra","Northern America","0","Yes","Yes","","","","",""
"Alnus rubra","Alnus rubra","Southern America","1","","","","","","",""
"Amperea ericoides","Amperea ericoides","Australasia","0","Yes","Yes","","","","",""
"Amperea xiphoclada","Amperea xiphoclada","Australasia","0","Yes","Yes","","","","",""
"Angophora costata","Angophora costata","Australasia","0","Yes","Yes","","","","",""
"Angophora hispida","Angophora hispida","Australasia","0","Yes","Yes","","","","",""
"Antidesma pulvinatum","Antidesma pulvinatum","Pacific","0","Yes","Yes","","","","",""
"Araucaria angustifolia","Araucaria angustifolia","Southern America","0","Yes","Yes","","","","",""
"Araucaria araucana","Araucaria araucana","Europe","1","Yes","Yes","Yes","","Yes","","Yes"
"Araucaria araucana","Araucaria araucana","Southern America","0","Yes","","Yes","","Yes","","Yes"
"Araucaria bidwillii","Araucaria bidwillii","Australasia","0","Yes","Yes","","","","",""
"Araucaria bidwillii","Araucaria bidwillii","Africa","1","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Africa","1","","","","","","",""
"Araucaria columnaris","Araucaria columnaris","Pacific","both","Yes","Yes","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Africa","1","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Asia-Tropical","1","","","","","","",""
"Araucaria heterophylla","Araucaria heterophylla","Australasia","both","Yes","Yes","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","Australasia","both","Yes","Yes","","","","",""
"Archontophoenix cunninghamiana","Archontophoenix cunninghamiana","Southern America","1","","","","","","",""
