"plant_name","plant_name_full","Level.3","Level.2","Level.1","Introduced","phyto.record","key.phyto.record","phyto.record.UK","key.phyto.record.UK","phyto.record.Scotland","key.phyto.record.Scotland","plant.in.GB"
"Actinodium cunninghamii","Actinodium cunninghamii","Western Australia","Australia","Australasia","No","","","","","","",""
"Agathis australis","Agathis australis","New Zealand North","New Zealand","Australasia","No","","","","","","",""
"Agonis flexuosa","Agonis flexuosa","Western Australia","Australia","Australasia","No","Yes","","","","","",""
"Agonis theiformis","Agonis theiformis","Western Australia","Australia","Australasia","No","","","","","","",""
"Alnus alnobetula","Alnus alnobetula","British Columbia","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Newfoundland","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Switzerland","Middle Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Saskatchewan","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Labrador","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Oregon","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","France","Southwestern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Italy","Southeastern Europe","Europe","No","Yes","Yes","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Hungary","Middle Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Austria","Middle Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Kamchatka","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","New Brunswick","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Czechoslovakia","Middle Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Michigan","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Idaho","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Vermont","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Germany","Middle Europe","Europe","No","Yes","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","West Siberia","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Manchuria","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Wyoming","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Poland","Middle Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","New Zealand South","New Zealand","Australasia","Yes","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Nova Scotia","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Kuril Is.","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Corse","Southwestern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Northwest Territorie","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Altay","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Maine","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Bulgaria","Southeastern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Greenland","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Mongolia","Mongolia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Prince Edward I.","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Wisconsin","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Primorye","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Montana","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Québec","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Chita","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Yukon","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Aleutian Is.","Subarctic America","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Belarus","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","North Carolina","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Pennsylvania","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Central European Rus","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Ontario","Eastern Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","New Hampshire","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","California","Southwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Colorado","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Tennessee","Southeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Buryatiya","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Ukraine","Eastern Europe","Europe","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Khabarovsk","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Yakutskiya","Siberia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","China North-Central","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Washington","Northwestern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Japan","Eastern Asia","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Manitoba","Western Canada","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Inner Mongolia","China","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","New York","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Massachusetts","Northeastern U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Sakhalin","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Minnesota","North-Central U.S.A.","Northern America","No","","","Yes","Yes","Yes","Yes",""
"Alnus alnobetula","Alnus alnobetula","Magadan","Russian Far East","Asia-Temperate","No","","","Yes","Yes","Yes","Yes",""
