"Phytophthora","Host","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus","Europe",434,"Yes"
"P. alni","Alnus","Northern America",1,"Yes"
"P. austrocedri","Austrocedrus","Southern America",27,NA
"P. austrocedri","Cupressus","Asia-Temperate",2,"Yes"
"P. austrocedri","Ginkgo","Europe",2,NA
"P. austrocedri","Juniperus","Europe",3,"Yes"
"P. austrocedri","Metasequoia","Europe",2,NA
"P. austrocedri","Pinus","Europe",2,NA
"P. austrocedri","Thuja","0",1,NA
"P. cinnamomi","Abelia","Australasia",4,NA
"P. cinnamomi","Abies","Australasia",6,NA
"P. cinnamomi","Abies","Europe",9,NA
"P. cinnamomi","Abies","Northern America",46,NA
"P. cinnamomi","Acacia","Australasia",33,NA
"P. cinnamomi","Acacia","Northern America",1,NA
"P. cinnamomi","Acacia","Pacific",2,NA
"P. cinnamomi","Acer","Asia-Temperate",2,NA
"P. cinnamomi","Acer","Europe",3,NA
"P. cinnamomi","Acer","Northern America",4,NA
"P. cinnamomi","Acrotriche","Australasia",3,NA
"P. cinnamomi","Actinidia","Asia-Temperate",1,NA
"P. cinnamomi","Actinidia","Australasia",19,NA
"P. cinnamomi","Actinidia","Europe",1,NA
"P. cinnamomi","Actinodium","Australasia",2,NA
"P. cinnamomi","Adenanthos","Australasia",6,NA
"P. cinnamomi","Agathis","Australasia",18,NA
"P. cinnamomi","Agathosma","Africa",8,NA
"P. cinnamomi","Agonis","Australasia",6,NA
"P. cinnamomi","Allium","Pacific",1,NA
"P. cinnamomi","Allium","Southern America",2,NA
"P. cinnamomi","Allocasuarina","Australasia",22,NA
"P. cinnamomi","Alnus","Australasia",2,NA
"P. cinnamomi","Alnus","Europe",2,NA
"P. cinnamomi","Alstroemeria","Europe",1,NA
"P. cinnamomi","Amperea","Australasia",3,NA
"P. cinnamomi","Ananas","0",1,NA
"P. cinnamomi","Ananas","Africa",4,NA
"P. cinnamomi","Ananas","Asia-Temperate",5,NA
"P. cinnamomi","Ananas","Asia-Tropical",2,NA
"P. cinnamomi","Ananas","Australasia",143,NA
"P. cinnamomi","Ananas","Northern America",5,NA
"P. cinnamomi","Ananas","Pacific",17,NA
"P. cinnamomi","Ananas","Southern America",2,NA
"P. cinnamomi","Andersonia","Australasia",1,NA
"P. cinnamomi","Andromeda","Europe",2,NA
"P. cinnamomi","Angophora","Australasia",8,NA
"P. cinnamomi","Anigozanthos","Australasia",2,NA
"P. cinnamomi","Antidesma","Northern America",1,NA
"P. cinnamomi","Antidesma","Pacific",1,NA
"P. cinnamomi","Antirrhinum","Australasia",1,NA
"P. cinnamomi","Aotus","Australasia",9,NA
"P. cinnamomi","Araucaria","Africa",2,NA
"P. cinnamomi","Araucaria","Asia-Tropical",2,NA
"P. cinnamomi","Araucaria","Australasia",5,NA
"P. cinnamomi","Araucaria","Europe",1,NA
"P. cinnamomi","Araucaria","Northern America",1,NA
"P. cinnamomi","Araucaria","Pacific",2,NA
"P. cinnamomi","Araucaria","Southern America",1,NA
"P. cinnamomi","Arbutus","Australasia",2,NA
"P. cinnamomi","Arbutus","Europe",2,NA
"P. cinnamomi","Arbutus","Northern America",2,NA
"P. cinnamomi","Archidasyphyllum","Southern America",2,NA
"P. cinnamomi","Archontophoenix","Australasia",1,NA
"P. cinnamomi","Arctostaphylos","Australasia",1,NA
"P. cinnamomi","Arctostaphylos","Northern America",7,NA
"P. cinnamomi","Aristotelia","Australasia",1,NA
"P. cinnamomi","Aristotelia","Southern America",3,NA
"P. cinnamomi","Astelia","Australasia",4,NA
"P. cinnamomi","Aucuba","Northern America",4,"Yes"
"P. cinnamomi","Aulax","Africa",5,NA
"P. cinnamomi","Aulax","Australasia",1,NA
"P. cinnamomi","Azolla","Australasia",1,NA
"P. cinnamomi","Backhousia","Australasia",2,NA
"P. cinnamomi","Banksia","Africa",7,NA
"P. cinnamomi","Banksia","Australasia",196,NA
"P. cinnamomi","Banksia","Pacific",2,NA
"P. cinnamomi","Bauera","Australasia",7,NA
"P. cinnamomi","Beilschmiedia","Australasia",1,NA
"P. cinnamomi","Berberidopsis","Australasia",2,NA
"P. cinnamomi","Berberis","Europe",1,NA
"P. cinnamomi","Berzelia","Africa",2,NA
"P. cinnamomi","Berzelia","Australasia",2,NA
"P. cinnamomi","Betula","Australasia",13,NA
"P. cinnamomi","Betula","Europe",2,NA
"P. cinnamomi","Betula","Northern America",4,NA
"P. cinnamomi","Billardiera","Australasia",1,NA
"P. cinnamomi","Blandfordia","Australasia",3,NA
"P. cinnamomi","Boronia","Australasia",25,NA
"P. cinnamomi","Boronia","Europe",1,NA
"P. cinnamomi","Bossiaea","Australasia",5,NA
"P. cinnamomi","Brabejum","Africa",4,NA
"P. cinnamomi","Brunonia","Australasia",2,NA
"P. cinnamomi","Buxus","Northern America",7,NA
"P. cinnamomi","Cajanus","Northern America",1,NA
"P. cinnamomi","Cajanus","Pacific",1,NA
"P. cinnamomi","Caladenia","Australasia",1,NA
"P. cinnamomi","Caleana","Australasia",2,NA
"P. cinnamomi","Callitris","Australasia",4,NA
"P. cinnamomi","Calluna","Australasia",6,"Yes"
"P. cinnamomi","Calluna","Europe",8,"Yes"
