"Phytophthora","Host","Level.2","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus","0","Europe",1,"Yes"
"P. alni","Alnus","Eastern Europe","Europe",2,"Yes"
"P. alni","Alnus","Middle Europe","Europe",107,"Yes"
"P. alni","Alnus","North-Central U.S.A.","Northern America",1,"Yes"
"P. alni","Alnus","Northern Europe","Europe",42,"Yes"
"P. alni","Alnus","Southeastern Europe","Europe",7,"Yes"
"P. alni","Alnus","Southwestern Europe","Europe",275,"Yes"
"P. austrocedri","Austrocedrus","Southern South America","Southern America",27,NA
"P. austrocedri","Cupressus","Western Asia","Asia-Temperate",2,"Yes"
"P. austrocedri","Ginkgo","Middle Europe","Europe",2,NA
"P. austrocedri","Juniperus","Middle Europe","Europe",3,"Yes"
"P. austrocedri","Metasequoia","Middle Europe","Europe",2,NA
"P. austrocedri","Pinus","Middle Europe","Europe",2,NA
"P. austrocedri","Thuja","0","0",1,NA
"P. cinnamomi","Abelia","New Zealand","Australasia",4,NA
"P. cinnamomi","Abies","0","Northern America",26,NA
"P. cinnamomi","Abies","Australia","Australasia",3,NA
"P. cinnamomi","Abies","Middle Europe","Europe",2,NA
"P. cinnamomi","Abies","New Zealand","Australasia",3,NA
"P. cinnamomi","Abies","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Abies","Southeastern U.S.A.","Northern America",10,NA
"P. cinnamomi","Abies","Southwestern Europe","Europe",4,NA
"P. cinnamomi","Abies","Southwestern U.S.A.","Northern America",8,NA
"P. cinnamomi","Acacia","0","Northern America",1,NA
"P. cinnamomi","Acacia","Australia","Australasia",25,NA
"P. cinnamomi","Acacia","New Zealand","Australasia",8,NA
"P. cinnamomi","Acacia","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Acer","0","Northern America",4,NA
"P. cinnamomi","Acer","Eastern Asia","Asia-Temperate",2,NA
"P. cinnamomi","Acer","Southwestern Europe","Europe",3,NA
"P. cinnamomi","Acrotriche","Australia","Australasia",3,NA
"P. cinnamomi","Actinidia","Australia","Australasia",14,NA
"P. cinnamomi","Actinidia","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Actinidia","New Zealand","Australasia",5,NA
"P. cinnamomi","Actinidia","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Actinodium","Australia","Australasia",2,NA
"P. cinnamomi","Adenanthos","Australia","Australasia",6,NA
"P. cinnamomi","Agathis","New Zealand","Australasia",18,NA
"P. cinnamomi","Agathosma","Southern Africa","Africa",8,NA
"P. cinnamomi","Agonis","Australia","Australasia",6,NA
"P. cinnamomi","Allium","Brazil","Southern America",2,NA
"P. cinnamomi","Allium","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Allocasuarina","Australia","Australasia",14,NA
"P. cinnamomi","Allocasuarina","New Zealand","Australasia",8,NA
"P. cinnamomi","Alnus","Australia","Australasia",2,NA
"P. cinnamomi","Alnus","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Alstroemeria","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Amperea","Australia","Australasia",3,NA
"P. cinnamomi","Ananas","0","0",1,NA
"P. cinnamomi","Ananas","0","Northern America",5,NA
"P. cinnamomi","Ananas","Australia","Australasia",141,NA
"P. cinnamomi","Ananas","Brazil","Southern America",2,NA
"P. cinnamomi","Ananas","Eastern Asia","Asia-Temperate",5,NA
"P. cinnamomi","Ananas","Indo-China","Asia-Tropical",2,NA
"P. cinnamomi","Ananas","New Zealand","Australasia",2,NA
"P. cinnamomi","Ananas","North-Central Pacific","Pacific",14,NA
"P. cinnamomi","Ananas","South-Central Pacific","Pacific",1,NA
"P. cinnamomi","Ananas","Southern Africa","Africa",4,NA
"P. cinnamomi","Ananas","Southwestern Pacific","Pacific",2,NA
"P. cinnamomi","Andersonia","Australia","Australasia",1,NA
"P. cinnamomi","Andromeda","Middle Europe","Europe",2,NA
"P. cinnamomi","Angophora","Australia","Australasia",8,NA
"P. cinnamomi","Anigozanthos","Australia","Australasia",2,NA
"P. cinnamomi","Antidesma","0","Northern America",1,NA
"P. cinnamomi","Antidesma","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Antirrhinum","Australia","Australasia",1,NA
"P. cinnamomi","Aotus","Australia","Australasia",9,NA
"P. cinnamomi","Araucaria","0","Northern America",1,NA
"P. cinnamomi","Araucaria","Australia","Australasia",3,NA
"P. cinnamomi","Araucaria","Brazil","Southern America",1,NA
"P. cinnamomi","Araucaria","New Zealand","Australasia",2,NA
"P. cinnamomi","Araucaria","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Araucaria","Papuasia","Asia-Tropical",2,NA
"P. cinnamomi","Araucaria","Southeastern Europe","Europe",1,NA
"P. cinnamomi","Araucaria","Southern Africa","Africa",2,NA
"P. cinnamomi","Arbutus","0","Northern America",1,NA
"P. cinnamomi","Arbutus","Australia","Australasia",2,NA
"P. cinnamomi","Arbutus","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Arbutus","Southwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Archidasyphyllum","Southern South America","Southern America",2,NA
"P. cinnamomi","Archontophoenix","Australia","Australasia",1,NA
"P. cinnamomi","Arctostaphylos","0","Northern America",4,NA
"P. cinnamomi","Arctostaphylos","Australia","Australasia",1,NA
"P. cinnamomi","Arctostaphylos","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Aristotelia","New Zealand","Australasia",1,NA
"P. cinnamomi","Aristotelia","Southern South America","Southern America",3,NA
"P. cinnamomi","Astelia","New Zealand","Australasia",4,NA
"P. cinnamomi","Aucuba","0","Northern America",2,"Yes"
"P. cinnamomi","Aucuba","Southeastern U.S.A.","Northern America",2,"Yes"
"P. cinnamomi","Aulax","Australia","Australasia",1,NA
"P. cinnamomi","Aulax","Southern Africa","Africa",5,NA
"P. cinnamomi","Azolla","Australia","Australasia",1,NA
"P. cinnamomi","Backhousia","Australia","Australasia",2,NA
"P. cinnamomi","Banksia","Australia","Australasia",191,NA
"P. cinnamomi","Banksia","New Zealand","Australasia",5,NA
"P. cinnamomi","Banksia","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Banksia","Southern Africa","Africa",7,NA
"P. cinnamomi","Bauera","Australia","Australasia",3,NA
"P. cinnamomi","Bauera","New Zealand","Australasia",4,NA
"P. cinnamomi","Beilschmiedia","New Zealand","Australasia",1,NA
"P. cinnamomi","Berberidopsis","Australia","Australasia",2,NA
"P. cinnamomi","Berberis","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Berzelia","Australia","Australasia",2,NA
"P. cinnamomi","Berzelia","Southern Africa","Africa",2,NA
"P. cinnamomi","Betula","0","Northern America",4,NA
"P. cinnamomi","Betula","Australia","Australasia",8,NA
"P. cinnamomi","Betula","New Zealand","Australasia",5,NA
"P. cinnamomi","Betula","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Billardiera","Australia","Australasia",1,NA
"P. cinnamomi","Blandfordia","Australia","Australasia",3,NA
"P. cinnamomi","Boronia","Australia","Australasia",21,NA
"P. cinnamomi","Boronia","New Zealand","Australasia",4,NA
"P. cinnamomi","Boronia","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Bossiaea","Australia","Australasia",5,NA
"P. cinnamomi","Brabejum","Southern Africa","Africa",4,NA
"P. cinnamomi","Brunonia","Australia","Australasia",2,NA
"P. cinnamomi","Buxus","0","Northern America",3,NA
"P. cinnamomi","Buxus","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Cajanus","0","Northern America",1,NA
"P. cinnamomi","Cajanus","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Caladenia","Australia","Australasia",1,NA
"P. cinnamomi","Caleana","Australia","Australasia",2,NA
"P. cinnamomi","Callitris","Australia","Australasia",2,NA
"P. cinnamomi","Callitris","New Zealand","Australasia",2,NA
"P. cinnamomi","Calluna","Australia","Australasia",2,"Yes"
"P. cinnamomi","Calluna","Middle Europe","Europe",5,"Yes"
"P. cinnamomi","Calluna","New Zealand","Australasia",4,"Yes"
"P. cinnamomi","Calluna","Northwestern U.S.A.","Northern America",1,"Yes"
"P. cinnamomi","Calluna","Southeastern Europe","Europe",3,"Yes"
"P. cinnamomi","Calocedrus","0","Northern America",3,NA
"P. cinnamomi","Calocedrus","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Calytrix","Australia","Australasia",3,NA
"P. cinnamomi","Calytrix","New Zealand","Australasia",4,NA
"P. cinnamomi","Camelia","0","Northern America",1,NA
"P. cinnamomi","Camelia","Middle Europe","Europe",1,NA
"P. cinnamomi","Camellia","0","Northern America",7,NA
"P. cinnamomi","Camellia","Australia","Australasia",5,NA
"P. cinnamomi","Camellia","China","Asia-Temperate",2,NA
"P. cinnamomi","Camellia","Eastern Asia","Asia-Temperate",1,NA
"P. cinnamomi","Camellia","Middle Europe","Europe",2,NA
"P. cinnamomi","Camellia","New Zealand","Australasia",4,NA
"P. cinnamomi","Camellia","Southeastern U.S.A.","Northern America",12,NA
"P. cinnamomi","Camellia","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Camellia","Southwestern U.S.A.","Northern America",6,NA
"P. cinnamomi","Carex","Australia","Australasia",1,NA
"P. cinnamomi","Carex","New Zealand","Australasia",1,NA
"P. cinnamomi","Carica","Australia","Australasia",2,NA
"P. cinnamomi","Carica","Western South America","Southern America",2,NA
"P. cinnamomi","Carpodetus","New Zealand","Australasia",4,NA
"P. cinnamomi","Carya","Australia","Australasia",1,NA
"P. cinnamomi","Carya","China","Asia-Temperate",1,NA
