"Phytophthora","Host","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus","0","0","Europe",1,"Yes"
"P. alni","Alnus","Austria","Middle Europe","Europe",6,"Yes"
"P. alni","Alnus","Belarus","Eastern Europe","Europe",2,"Yes"
"P. alni","Alnus","Belgium","Middle Europe","Europe",4,"Yes"
"P. alni","Alnus","Czechoslovakia","Middle Europe","Europe",69,"Yes"
"P. alni","Alnus","France","Southwestern Europe","Europe",260,"Yes"
"P. alni","Alnus","Germany","Middle Europe","Europe",15,"Yes"
"P. alni","Alnus","Hungary","Middle Europe","Europe",6,"Yes"
"P. alni","Alnus","Illinois","North-Central U.S.A.","Northern America",1,"Yes"
"P. alni","Alnus","Ireland","Northern Europe","Europe",3,"Yes"
"P. alni","Alnus","Italy","Southeastern Europe","Europe",1,"Yes"
"P. alni","Alnus","Netherlands","Middle Europe","Europe",4,"Yes"
"P. alni","Alnus","Poland","Middle Europe","Europe",3,"Yes"
"P. alni","Alnus","Portugal","Southwestern Europe","Europe",6,"Yes"
"P. alni","Alnus","Spain","Southwestern Europe","Europe",9,"Yes"
"P. alni","Alnus","Sweden","Northern Europe","Europe",39,"Yes"
"P. alni","Alnus","Yugoslavia","Southeastern Europe","Europe",6,"Yes"
"P. austrocedri","Austrocedrus","0","Southern South America","Southern America",19,NA
"P. austrocedri","Austrocedrus","Argentina South","Southern South America","Southern America",8,NA
"P. austrocedri","Cupressus","Iran","Western Asia","Asia-Temperate",2,"Yes"
"P. austrocedri","Ginkgo","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Juniperus","Germany","Middle Europe","Europe",3,"Yes"
"P. austrocedri","Metasequoia","Germany","Middle Europe","Europe",2,NA
"P. austrocedri","Pinus","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Thuja","0","0","0",1,NA
"P. cinnamomi","Abelia","0","New Zealand","Australasia",4,NA
"P. cinnamomi","Abies","0","0","Northern America",26,NA
"P. cinnamomi","Abies","0","Australia","Australasia",3,NA
"P. cinnamomi","Abies","0","New Zealand","Australasia",3,NA
