"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus","Austria","Austria","Middle Europe","Europe",6,"Yes"
"P. alni","Alnus","Belarus","Belarus","Eastern Europe","Europe",2,"Yes"
"P. alni","Alnus","Belgium","Belgium","Middle Europe","Europe",4,"Yes"
"P. alni","Alnus","Croatia","Yugoslavia","Southeastern Europe","Europe",6,"Yes"
"P. alni","Alnus","Czech Republic","Czechoslovakia","Middle Europe","Europe",69,"Yes"
"P. alni","Alnus","France","France","Southwestern Europe","Europe",260,"Yes"
"P. alni","Alnus","Germany","Germany","Middle Europe","Europe",15,"Yes"
"P. alni","Alnus","Hungary","Hungary","Middle Europe","Europe",6,"Yes"
"P. alni","Alnus","Illinois","Illinois","North-Central U.S.A.","Northern America",1,"Yes"
"P. alni","Alnus","Ireland","Ireland","Northern Europe","Europe",3,"Yes"
"P. alni","Alnus","Italy","Italy","Southeastern Europe","Europe",1,"Yes"
"P. alni","Alnus","Netherlands","Netherlands","Middle Europe","Europe",4,"Yes"
"P. alni","Alnus","Poland","Poland","Middle Europe","Europe",3,"Yes"
"P. alni","Alnus","Portugal","Portugal","Southwestern Europe","Europe",6,"Yes"
"P. alni","Alnus","Spain","Spain","Southwestern Europe","Europe",9,"Yes"
"P. alni","Alnus","Sweden","Sweden","Northern Europe","Europe",39,"Yes"
"P. alni","Alnus",NA,NA,NA,"Europe",1,"Yes"
"P. austrocedri","Austrocedrus","Chubut","Argentina South","Southern South America","Southern America",6,NA
"P. austrocedri","Austrocedrus","Rio Negro","Argentina South","Southern South America","Southern America",2,NA
"P. austrocedri","Austrocedrus",NA,NA,"Southern South America","Southern America",19,NA
"P. austrocedri","Cupressus","Iran","Iran","Western Asia","Asia-Temperate",2,"Yes"
"P. austrocedri","Ginkgo","Slovakia","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Juniperus","Germany","Germany","Middle Europe","Europe",3,"Yes"
"P. austrocedri","Juniperus","Great Britain","Great Britain","Northern Europe","Europe",3,"Yes"
"P. austrocedri","Metasequoia","Germany","Germany","Middle Europe","Europe",2,NA
"P. austrocedri","Pinus","Slovakia","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Thuja",NA,NA,NA,NA,1,NA
"P. cinnamomi","Abelia",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Abies","California","California","Southwestern U.S.A.","Northern America",8,NA
"P. cinnamomi","Abies","Italy","Italy","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Abies","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",10,NA
"P. cinnamomi","Abies","Oregon","Oregon","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies","Poland","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Abies","Spain","Spain","Southwestern Europe","Europe",4,NA
"P. cinnamomi","Abies","West Virginia","West Virginia","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Abies",NA,NA,"New Zealand","Australasia",3,NA
"P. cinnamomi","Abies",NA,NA,NA,"Northern America",26,NA
"P. cinnamomi","Acacia",NA,"Hawaii","North-Central Pacific","Pacific",2,NA
"P. cinnamomi","Acacia",NA,NA,"Australia","Australasia",25,NA
