"Phytophthora","Host","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus cordata","Europe",1,NA
"P. alni","Alnus glutinosa","Europe",407,"Yes"
"P. alni","Alnus glutinosa","Northern America",1,"Yes"
"P. alni","Alnus incana","Europe",11,NA
"P. austrocedri","Austrocedrus chilensis","Southern America",27,NA
"P. austrocedri","Cupressus sempervirens","Asia-Temperate",2,NA
"P. austrocedri","Ginkgo biloba","Europe",2,NA
"P. austrocedri","Juniperus communis","Europe",5,"Yes"
"P. austrocedri","Juniperus horizontalis","Europe",1,"Yes"
"P. austrocedri","Metasequoia glyptostroboides","Europe",2,NA
"P. austrocedri","Pinus nigra","Europe",2,NA
"P. austrocedri","Thuja occidentalis",NA,1,NA
"P. cinnamomi","Abelia parvifolia","Australasia",2,NA
"P. cinnamomi","Abelia schumannii","Australasia",2,NA
"P. cinnamomi","Abies alba","Europe",5,NA
"P. cinnamomi","Abies alba","Northern America",2,NA
"P. cinnamomi","Abies balsamea","Australasia",2,NA
"P. cinnamomi","Abies balsamea","Northern America",4,NA
"P. cinnamomi","Abies concolor","Northern America",7,NA
"P. cinnamomi","Abies fraseri","Northern America",15,NA
"P. cinnamomi","Abies nordmanniana","Europe",1,NA
"P. cinnamomi","Abies nordmanniana","Northern America",13,NA
"P. cinnamomi","Abies pinsapo","Australasia",1,NA
"P. cinnamomi","Abies pinsapo","Europe",2,NA
"P. cinnamomi","Abies procera","Australasia",1,NA
"P. cinnamomi","Abies procera","Northern America",3,NA
"P. cinnamomi","Abies sibirica","Northern America",2,NA
"P. cinnamomi","Acacia baileyana","Australasia",4,NA
"P. cinnamomi","Acacia celsa","Australasia",1,NA
"P. cinnamomi","Acacia dealbata","Australasia",2,NA
"P. cinnamomi","Acacia hamiltoniana","Australasia",1,NA
"P. cinnamomi","Acacia huegelii","Australasia",3,NA
"P. cinnamomi","Acacia koa","Pacific",1,NA
"P. cinnamomi","Acacia melanoxylon","Northern America",1,NA
"P. cinnamomi","Acacia melanoxylon","Pacific",1,NA
"P. cinnamomi","Acacia myrtifolia","Australasia",5,NA
"P. cinnamomi","Acacia simsii","Australasia",1,NA
"P. cinnamomi","Acacia suaveolens","Australasia",1,NA
"P. cinnamomi","Acacia ulicifolia","Australasia",1,NA
"P. cinnamomi","Acacia verticillata","Australasia",7,NA
"P. cinnamomi","Acacia vestita","Australasia",1,NA
"P. cinnamomi","Acer negundo","Europe",2,NA
"P. cinnamomi","Acer palmatum","Asia-Temperate",2,NA
"P. cinnamomi","Acer rubrum","Northern America",2,NA
"P. cinnamomi","Acer saccharum","Northern America",2,NA
"P. cinnamomi","Acrotriche serrulata","Australasia",3,NA
"P. cinnamomi","Actinidia chinensis","Australasia",19,NA
"P. cinnamomi","Actinidia chinensis","Europe",1,NA
"P. cinnamomi","Actinodium cunninghamii","Australasia",2,NA
"P. cinnamomi","Adenanthos barbiger","Australasia",1,NA
"P. cinnamomi","Adenanthos barbigerus","Australasia",1,NA
"P. cinnamomi","Adenanthos cuneatus","Australasia",1,NA
"P. cinnamomi","Adenanthos obovatus","Australasia",2,NA
"P. cinnamomi","Agathis australis","Australasia",18,NA
"P. cinnamomi","Agathosma betulina","Africa",4,NA
"P. cinnamomi","Agathosma crenulata","Africa",4,NA
"P. cinnamomi","Agonis flexuosa","Australasia",4,NA
"P. cinnamomi","Agonis theiformis","Australasia",2,NA
"P. cinnamomi","Allium cepa","Pacific",1,NA
"P. cinnamomi","Allium cepa","Southern America",2,NA
"P. cinnamomi","Allocasuarina fraseriana","Australasia",7,NA
"P. cinnamomi","Allocasuarina littoralis","Australasia",5,NA
"P. cinnamomi","Allocasuarina torulosa","Australasia",4,NA
"P. cinnamomi","Allocasuarina verticillata","Australasia",4,NA
"P. cinnamomi","Alnus firma","Australasia",2,NA
"P. cinnamomi","Alnus glutinosa","Europe",2,NA
"P. cinnamomi","Amperea ericoides","Australasia",2,NA
"P. cinnamomi","Amperea xiphoclada","Australasia",1,NA
"P. cinnamomi","Ananas comosus","Africa",4,NA
"P. cinnamomi","Ananas comosus","Asia-Temperate",5,NA
"P. cinnamomi","Ananas comosus","Asia-Tropical",2,NA
"P. cinnamomi","Ananas comosus","Australasia",143,NA
"P. cinnamomi","Ananas comosus","Northern America",4,NA
"P. cinnamomi","Ananas comosus","Pacific",16,NA
"P. cinnamomi","Ananas comosus","Southern America",2,NA
"P. cinnamomi","Ananas comosus",NA,1,NA
