"Phytophthora","Host","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus cordata","Ireland","Northern Europe","Europe",1,NA
"P. alni","Alnus glutinosa","Austria","Middle Europe","Europe",4,"Yes"
"P. alni","Alnus glutinosa","Belarus","Eastern Europe","Europe",2,"Yes"
"P. alni","Alnus glutinosa","Belgium","Middle Europe","Europe",2,"Yes"
"P. alni","Alnus glutinosa","Czechoslovakia","Middle Europe","Europe",68,"Yes"
"P. alni","Alnus glutinosa","France","Southwestern Europe","Europe",257,"Yes"
"P. alni","Alnus glutinosa","Germany","Middle Europe","Europe",10,"Yes"
"P. alni","Alnus glutinosa","Hungary","Middle Europe","Europe",5,"Yes"
"P. alni","Alnus glutinosa","Illinois","North-Central U.S.A.","Northern America",1,"Yes"
"P. alni","Alnus glutinosa","Italy","Southeastern Europe","Europe",1,"Yes"
"P. alni","Alnus glutinosa","Netherlands","Middle Europe","Europe",1,"Yes"
"P. alni","Alnus glutinosa","Poland","Middle Europe","Europe",3,"Yes"
"P. alni","Alnus glutinosa","Portugal","Southwestern Europe","Europe",5,"Yes"
"P. alni","Alnus glutinosa","Spain","Southwestern Europe","Europe",9,"Yes"
"P. alni","Alnus glutinosa","Sweden","Northern Europe","Europe",34,"Yes"
"P. alni","Alnus glutinosa","Yugoslavia","Southeastern Europe","Europe",6,"Yes"
"P. alni","Alnus incana","Belgium","Middle Europe","Europe",2,NA
"P. alni","Alnus incana","Czechoslovakia","Middle Europe","Europe",1,NA
"P. alni","Alnus incana","Germany","Middle Europe","Europe",3,NA
"P. alni","Alnus incana","Sweden","Northern Europe","Europe",5,NA
"P. austrocedri","Austrocedrus chilensis","0","Southern South America","Southern America",19,NA
"P. austrocedri","Austrocedrus chilensis","Argentina South","Southern South America","Southern America",8,NA
"P. austrocedri","Cupressus sempervirens","Iran","Western Asia","Asia-Temperate",2,NA
"P. austrocedri","Ginkgo biloba","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Juniperus communis","Germany","Middle Europe","Europe",2,"Yes"
"P. austrocedri","Juniperus horizontalis","Germany","Middle Europe","Europe",1,"Yes"
"P. austrocedri","Metasequoia glyptostroboides","Germany","Middle Europe","Europe",2,NA
"P. austrocedri","Pinus nigra","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Thuja occidentalis","0","0","0",1,NA
"P. cinnamomi","Abelia parvifolia","0","New Zealand","Australasia",2,NA
"P. cinnamomi","Abelia schumannii","0","New Zealand","Australasia",2,NA
"P. cinnamomi","Abies alba","0","0","Northern America",2,NA
"P. cinnamomi","Abies alba","Italy","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Abies alba","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Abies balsamea","0","0","Northern America",2,NA
"P. cinnamomi","Abies balsamea","0","Australia","Australasia",2,NA
"P. cinnamomi","Abies balsamea","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Abies concolor","0","0","Northern America",3,NA
"P. cinnamomi","Abies concolor","California","Southwestern U.S.A.","Northern America",3,NA
