"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Total","PxH.in.Scotland"
"P. alni","Alnus cordata","Ireland","Ireland","Northern Europe","Europe",1,NA
"P. alni","Alnus glutinosa","Austria","Austria","Middle Europe","Europe",4,"Yes"
"P. alni","Alnus glutinosa","Belarus","Belarus","Eastern Europe","Europe",2,"Yes"
"P. alni","Alnus glutinosa","Belgium","Belgium","Middle Europe","Europe",2,"Yes"
"P. alni","Alnus glutinosa","Croatia","Yugoslavia","Southeastern Europe","Europe",6,"Yes"
"P. alni","Alnus glutinosa","Czech Republic","Czechoslovakia","Middle Europe","Europe",68,"Yes"
"P. alni","Alnus glutinosa","France","France","Southwestern Europe","Europe",257,"Yes"
"P. alni","Alnus glutinosa","Germany","Germany","Middle Europe","Europe",10,"Yes"
"P. alni","Alnus glutinosa","Hungary","Hungary","Middle Europe","Europe",5,"Yes"
"P. alni","Alnus glutinosa","Illinois","Illinois","North-Central U.S.A.","Northern America",1,"Yes"
"P. alni","Alnus glutinosa","Italy","Italy","Southeastern Europe","Europe",1,"Yes"
"P. alni","Alnus glutinosa","Netherlands","Netherlands","Middle Europe","Europe",1,"Yes"
"P. alni","Alnus glutinosa","Poland","Poland","Middle Europe","Europe",3,"Yes"
"P. alni","Alnus glutinosa","Portugal","Portugal","Southwestern Europe","Europe",5,"Yes"
"P. alni","Alnus glutinosa","Spain","Spain","Southwestern Europe","Europe",9,"Yes"
"P. alni","Alnus glutinosa","Sweden","Sweden","Northern Europe","Europe",34,"Yes"
"P. alni","Alnus incana","Belgium","Belgium","Middle Europe","Europe",2,NA
"P. alni","Alnus incana","Czech Republic","Czechoslovakia","Middle Europe","Europe",1,NA
"P. alni","Alnus incana","Germany","Germany","Middle Europe","Europe",3,NA
"P. alni","Alnus incana","Sweden","Sweden","Northern Europe","Europe",5,NA
"P. austrocedri","Austrocedrus chilensis","Chubut","Argentina South","Southern South America","Southern America",6,NA
"P. austrocedri","Austrocedrus chilensis","Rio Negro","Argentina South","Southern South America","Southern America",2,NA
"P. austrocedri","Austrocedrus chilensis",NA,NA,"Southern South America","Southern America",19,NA
"P. austrocedri","Cupressus sempervirens","Iran","Iran","Western Asia","Asia-Temperate",2,NA
"P. austrocedri","Ginkgo biloba","Slovakia","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Juniperus communis","Germany","Germany","Middle Europe","Europe",2,"Yes"
"P. austrocedri","Juniperus communis","Great Britain","Great Britain","Northern Europe","Europe",3,"Yes"
"P. austrocedri","Juniperus horizontalis","Germany","Germany","Middle Europe","Europe",1,"Yes"
"P. austrocedri","Metasequoia glyptostroboides","Germany","Germany","Middle Europe","Europe",2,NA
"P. austrocedri","Pinus nigra","Slovakia","Czechoslovakia","Middle Europe","Europe",2,NA
"P. austrocedri","Thuja occidentalis",NA,NA,NA,NA,1,NA
"P. cinnamomi","Abelia parvifolia",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Abelia schumannii",NA,NA,"New Zealand","Australasia",2,NA
"P. cinnamomi","Abies alba","Italy","Italy","Southeastern Europe","Europe",3,NA
"P. cinnamomi","Abies alba","Poland","Poland","Middle Europe","Europe",2,NA
"P. cinnamomi","Abies alba",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Abies balsamea","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Abies balsamea",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Abies balsamea",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Abies concolor","California","California","Southwestern U.S.A.","Northern America",3,NA
"P. cinnamomi","Abies concolor","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies concolor",NA,NA,NA,"Northern America",3,NA
"P. cinnamomi","Abies fraseri","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",4,NA
"P. cinnamomi","Abies fraseri","West Virginia","West Virginia","Northeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies fraseri",NA,NA,NA,"Northern America",10,NA
"P. cinnamomi","Abies nordmanniana","California","California","Southwestern U.S.A.","Northern America",5,NA
"P. cinnamomi","Abies nordmanniana","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",2,NA
"P. cinnamomi","Abies nordmanniana","Spain","Spain","Southwestern Europe","Europe",1,NA
"P. cinnamomi","Abies nordmanniana",NA,NA,NA,"Northern America",6,NA
"P. cinnamomi","Abies pinsapo","Spain","Spain","Southwestern Europe","Europe",2,NA
"P. cinnamomi","Abies pinsapo",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Abies procera","North Carolina","North Carolina","Southeastern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies procera","Oregon","Oregon","Northwestern U.S.A.","Northern America",1,NA
"P. cinnamomi","Abies procera",NA,NA,"New Zealand","Australasia",1,NA
"P. cinnamomi","Abies procera",NA,NA,NA,"Northern America",1,NA
"P. cinnamomi","Abies sibirica",NA,NA,NA,"Northern America",2,NA
"P. cinnamomi","Acacia baileyana",NA,NA,"New Zealand","Australasia",4,NA
"P. cinnamomi","Acacia celsa",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Acacia dealbata",NA,NA,"Australia","Australasia",2,NA
"P. cinnamomi","Acacia hamiltoniana",NA,NA,"Australia","Australasia",1,NA
"P. cinnamomi","Acacia huegelii",NA,NA,"Australia","Australasia",3,NA
"P. cinnamomi","Acacia koa",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
"P. cinnamomi","Acacia melanoxylon",NA,"Hawaii","North-Central Pacific","Pacific",1,NA
