"Phytophthora","Host","Level.4","Level.3","Level.2","Level.1","Scotland"
"P. alni","Alnus alnobetula","Great Britain","Great Britain","Northern Europe","Europe",1
"P. alni","Alnus glutinosa","Great Britain","Great Britain","Northern Europe","Europe",2
"P. austrocedri","Callitropsis nootkatensis","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Chaenomeles × superba","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Chamaecyparis lawsoniana","Great Britain","Great Britain","Northern Europe","Europe",3
"P. austrocedri","Fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe",1
"P. austrocedri","Juniperus chinensis","Great Britain","Great Britain","Northern Europe","Europe",3
"P. austrocedri","Juniperus communis","Great Britain","Great Britain","Northern Europe","Europe",309
"P. austrocedri","Juniperus horizontalis","Great Britain","Great Britain","Northern Europe","Europe",4
"P. austrocedri","Juniperus squamata","Great Britain","Great Britain","Northern Europe","Europe",3
"P. austrocedri","× Hesperotropsis leylandii","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Calluna vulgaris","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Castanea sativa","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Chamaecyparis lawsoniana","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Erica cinerea","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Ilex aquifolium","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Juniperus squamata","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Laurus nobilis","Great Britain","Great Britain","Northern Europe","Europe",2
"P. cinnamomi","Pericallis cruenta","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Physocarpus opulifolius","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Pinus contorta","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Prunus lusitanica","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Rhododendron formosum","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Sequoiadendron giganteum","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Tasmannia lanceolata","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Taxus baccata","Great Britain","Great Britain","Northern Europe","Europe",3
"P. cinnamomi","Tsuga canadensis","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Tsuga heterophylla","Great Britain","Great Britain","Northern Europe","Europe",1
"P. cinnamomi","Vaccinium corymbosum","Great Britain","Great Britain","Northern Europe","Europe",1
"P. kernoviae","Fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pluvialis","Pseudotsuga menziesii","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pluvialis","Tsuga heterophylla","Great Britain","Great Britain","Northern Europe","Europe",28
"P. pseudosyringae","Betula pubescens","Great Britain","Great Britain","Northern Europe","Europe",1
"P. pseudosyringae","Fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe",5
"P. pseudosyringae","Magnolia salicifolia","Great Britain","Great Britain","Northern Europe","Europe",2
"P. pseudosyringae","Pieris floribunda","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Abies procera","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Chamaecyparis lawsoniana","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Fagus sylvatica","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Garrya elliptica","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Kalmia latifolia","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Larix kaempferi","Great Britain","Great Britain","Northern Europe","Europe",3
"P. ramorum","Magnolia stellata","Great Britain","Great Britain","Northern Europe","Europe",1
"P. ramorum","Picea sitchensis","Great Britain","Great Britain","Northern Europe","Europe",25
"P. ramorum","Pieris formosa","Great Britain","Great Britain","Northern Europe","Europe",4
"P. ramorum","Pieris japonica","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Rhododendron ponticum","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Tsuga heterophylla","Great Britain","Great Britain","Northern Europe","Europe",10
"P. ramorum","Vaccinium myrtillus","Great Britain","Great Britain","Northern Europe","Europe",2
"P. ramorum","Viburnum plicatum","Great Britain","Great Britain","Northern Europe","Europe",3
"P. ramorum","Viburnum tinus","Great Britain","Great Britain","Northern Europe","Europe",3
"P. ramorum","Viburnum × bodnantense","Great Britain","Great Britain","Northern Europe","Europe",1
