"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. alni","Alnus","Northern Europe","Europe",42,16,3,1,0,22
"P. alni","Ceanothus","Northern Europe","Europe",1,1,0,0,0,0
"P. alni","Taxus","Northern Europe","Europe",1,1,0,0,0,0
"P. austrocedri","Austrocedrus","Northern Europe","Europe",1,1,0,0,0,0
"P. austrocedri","Callitropsis","Northern Europe","Europe",4,1,1,0,0,2
"P. austrocedri","Chaenomeles","Northern Europe","Europe",1,0,1,0,0,0
"P. austrocedri","Chamaecyparis","Northern Europe","Europe",29,22,4,3,0,0
"P. austrocedri","Cupressus","Northern Europe","Europe",1,0,1,0,0,0
"P. austrocedri","Fagus","Northern Europe","Europe",1,0,1,0,0,0
"P. austrocedri","Hesperotropsis","Northern Europe","Europe",10,8,2,0,0,0
"P. austrocedri","Juniperus","Northern Europe","Europe",550,162,331,9,0,24
"P. austrocedri","Microbiota","Northern Europe","Europe",1,1,0,0,0,0
"P. austrocedri","Prunus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Abies","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Acer","Northern Europe","Europe",2,0,0,0,0,2
"P. cinnamomi","Alnus","Northern Europe","Europe",4,2,0,0,0,2
"P. cinnamomi","Alstroemeria","Northern Europe","Europe",2,1,0,0,0,1
"P. cinnamomi","Alternanthera","Northern Europe","Europe",2,1,0,0,0,1
"P. cinnamomi","Antirrhinum","Northern Europe","Europe",2,0,0,0,0,2
"P. cinnamomi","Arbutus","Northern Europe","Europe",4,2,0,0,0,2
"P. cinnamomi","Aucuba","Northern Europe","Europe",5,2,1,0,0,2
"P. cinnamomi","Banksia","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Berberis","Northern Europe","Europe",3,1,0,0,0,2
"P. cinnamomi","Betula","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Buxus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Calluna","Northern Europe","Europe",24,11,5,0,0,4
"P. cinnamomi","Camellia","Northern Europe","Europe",8,7,0,0,0,1
"P. cinnamomi","Carpinus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Castanea","Northern Europe","Europe",28,17,1,0,0,5
"P. cinnamomi","Cephalotaxus","Northern Europe","Europe",1,0,0,0,0,1
"P. cinnamomi","Chaenomeles","Northern Europe","Europe",3,1,0,0,0,2
"P. cinnamomi","Chamaecyparis","Northern Europe","Europe",9,5,3,0,0,1
"P. cinnamomi","Choisya","Northern Europe","Europe",4,3,0,0,0,1
"P. cinnamomi","Cinnamomum","Northern Europe","Europe",2,2,0,0,0,0
"P. cinnamomi","Cornus","Northern Europe","Europe",5,3,0,0,0,2
"P. cinnamomi","Corylus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Cotinus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Crocus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Cupressus","Northern Europe","Europe",3,3,0,0,0,0
"P. cinnamomi","Embothrium","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Erica","Northern Europe","Europe",16,6,2,0,0,8
"P. cinnamomi","Euphorbia","Northern Europe","Europe",3,2,0,0,0,1
"P. cinnamomi","Fagus","Northern Europe","Europe",16,3,1,0,0,6
"P. cinnamomi","Fragaria","Northern Europe","Europe",1,0,1,0,0,0
"P. cinnamomi","Gerbera","Northern Europe","Europe",1,0,1,0,0,0
"P. cinnamomi","Hesperotropsis","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Hibiscus","Northern Europe","Europe",2,1,0,0,0,1
"P. cinnamomi","Ilex","Northern Europe","Europe",4,2,1,1,0,0
"P. cinnamomi","Juniperus","Northern Europe","Europe",6,3,1,0,0,2
"P. cinnamomi","Kalmia","Northern Europe","Europe",4,2,2,0,0,0
"P. cinnamomi","Laburnum","Northern Europe","Europe",3,1,0,0,0,2
"P. cinnamomi","Laurus","Northern Europe","Europe",8,5,2,1,0,0
"P. cinnamomi","Lavandula","Northern Europe","Europe",6,4,0,0,0,2
"P. cinnamomi","Magnolia","Northern Europe","Europe",2,2,0,0,0,0
"P. cinnamomi","Malus","Northern Europe","Europe",3,1,0,0,0,2
"P. cinnamomi","Morus","Northern Europe","Europe",2,1,0,0,0,1
"P. cinnamomi","Myrtus","Northern Europe","Europe",5,3,0,0,0,2
"P. cinnamomi","Osmanthus","Northern Europe","Europe",1,0,1,0,0,0
"P. cinnamomi","Pericallis","Northern Europe","Europe",3,0,1,0,0,2
"P. cinnamomi","Physocarpus","Northern Europe","Europe",1,0,1,0,0,0
"P. cinnamomi","Pieris","Northern Europe","Europe",6,5,1,0,0,0
"P. cinnamomi","Pinus","Northern Europe","Europe",5,1,1,0,0,3
"P. cinnamomi","Populus","Northern Europe","Europe",2,0,0,0,0,2
"P. cinnamomi","Prunus","Northern Europe","Europe",5,4,1,0,0,0
"P. cinnamomi","Pseudotsuga","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Quercus","Northern Europe","Europe",5,4,0,0,0,1
"P. cinnamomi","Rhododendron","Northern Europe","Europe",26,17,3,0,0,6
"P. cinnamomi","Ribes","Northern Europe","Europe",3,1,0,0,0,2
"P. cinnamomi","Rosa","Northern Europe","Europe",6,3,0,0,0,3
"P. cinnamomi","Rubus","Northern Europe","Europe",1,1,0,0,0,0
"P. cinnamomi","Sequoiadendron","Northern Europe","Europe",1,0,1,0,0,0
