"Phytophthora","Host","Level.2","Level.1","UK","England","Scotland","Wales","N Ireland","Nation unknown"
"P. alni","Alnus","Northern Europe","Europe",42,16,3,1,NA,22
"P. alni","Ceanothus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. alni","Taxus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","Austrocedrus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","Callitropsis","Northern Europe","Europe",4,1,1,NA,NA,2
"P. austrocedri","Chaenomeles","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. austrocedri","Chamaecyparis","Northern Europe","Europe",29,22,4,3,NA,NA
"P. austrocedri","Cupressus","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. austrocedri","Fagus","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. austrocedri","Hesperotropsis","Northern Europe","Europe",10,8,2,NA,NA,NA
"P. austrocedri","Juniperus","Northern Europe","Europe",550,162,331,9,NA,24
"P. austrocedri","Microbiota","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. austrocedri","Prunus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Abies","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Acer","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Alnus","Northern Europe","Europe",4,2,NA,NA,NA,2
"P. cinnamomi","Alstroemeria","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Alternanthera","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Antirrhinum","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Arbutus","Northern Europe","Europe",4,2,NA,NA,NA,2
"P. cinnamomi","Aucuba","Northern Europe","Europe",5,2,1,NA,NA,2
"P. cinnamomi","Banksia","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Berberis","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Betula","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Buxus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Calluna","Northern Europe","Europe",24,11,5,NA,NA,4
"P. cinnamomi","Camellia","Northern Europe","Europe",8,7,NA,NA,NA,1
"P. cinnamomi","Carpinus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Castanea","Northern Europe","Europe",28,17,1,NA,NA,5
"P. cinnamomi","Cephalotaxus","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. cinnamomi","Chaenomeles","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Chamaecyparis","Northern Europe","Europe",9,5,3,NA,NA,1
"P. cinnamomi","Choisya","Northern Europe","Europe",4,3,NA,NA,NA,1
"P. cinnamomi","Cinnamomum","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. cinnamomi","Cornus","Northern Europe","Europe",5,3,NA,NA,NA,2
"P. cinnamomi","Corylus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Cotinus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Crocus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Cupressus","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. cinnamomi","Embothrium","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Erica","Northern Europe","Europe",16,6,2,NA,NA,8
"P. cinnamomi","Euphorbia","Northern Europe","Europe",3,2,NA,NA,NA,1
"P. cinnamomi","Fagus","Northern Europe","Europe",16,3,1,NA,NA,6
"P. cinnamomi","Fragaria","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Gerbera","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Hesperotropsis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Hibiscus","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Ilex","Northern Europe","Europe",4,2,1,1,NA,NA
"P. cinnamomi","Juniperus","Northern Europe","Europe",6,3,1,NA,NA,2
"P. cinnamomi","Kalmia","Northern Europe","Europe",4,2,2,NA,NA,NA
"P. cinnamomi","Laburnum","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Laurus","Northern Europe","Europe",8,5,2,1,NA,NA
"P. cinnamomi","Lavandula","Northern Europe","Europe",6,4,NA,NA,NA,2
"P. cinnamomi","Magnolia","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. cinnamomi","Malus","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Morus","Northern Europe","Europe",2,1,NA,NA,NA,1
"P. cinnamomi","Myrtus","Northern Europe","Europe",5,3,NA,NA,NA,2
"P. cinnamomi","Osmanthus","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Pericallis","Northern Europe","Europe",3,NA,1,NA,NA,2
"P. cinnamomi","Physocarpus","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Pieris","Northern Europe","Europe",6,5,1,NA,NA,NA
"P. cinnamomi","Pinus","Northern Europe","Europe",5,1,1,NA,NA,3
"P. cinnamomi","Populus","Northern Europe","Europe",2,NA,NA,NA,NA,2
"P. cinnamomi","Prunus","Northern Europe","Europe",5,4,1,NA,NA,NA
"P. cinnamomi","Pseudotsuga","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Quercus","Northern Europe","Europe",5,4,NA,NA,NA,1
"P. cinnamomi","Rhododendron","Northern Europe","Europe",26,17,3,NA,NA,6
"P. cinnamomi","Ribes","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Rosa","Northern Europe","Europe",6,3,NA,NA,NA,3
"P. cinnamomi","Rubus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Sequoiadendron","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Syringa","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Tasmannia","Northern Europe","Europe",1,NA,1,NA,NA,NA
"P. cinnamomi","Taxodium","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. cinnamomi","Taxus","Northern Europe","Europe",129,118,4,5,NA,2
"P. cinnamomi","Telopea","Northern Europe","Europe",3,1,NA,NA,NA,2
"P. cinnamomi","Tsuga","Northern Europe","Europe",2,NA,2,NA,NA,NA
"P. cinnamomi","Vaccinium","Northern Europe","Europe",7,5,1,1,NA,NA
"P. cinnamomi","Veronica","Northern Europe","Europe",2,2,NA,NA,NA,NA
"P. cinnamomi","Viburnum","Northern Europe","Europe",7,6,NA,NA,NA,1
"P. cinnamomi","Vicia","Northern Europe","Europe",1,NA,NA,NA,NA,1
"P. cinnamomi","Wisteria","Northern Europe","Europe",4,2,NA,NA,NA,2
"P. kernoviae","Aesculus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Berberis","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Camellia","Northern Europe","Europe",3,3,NA,NA,NA,NA
"P. kernoviae","Castanea","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Drimys","Northern Europe","Europe",58,51,NA,3,NA,4
"P. kernoviae","Fagus","Northern Europe","Europe",11,2,1,NA,NA,8
"P. kernoviae","Kalmia","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Leucothoe","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Magnolia","Northern Europe","Europe",19,14,1,NA,NA,4
"P. kernoviae","Myrtus","Northern Europe","Europe",1,1,NA,NA,NA,NA
"P. kernoviae","Pieris","Northern Europe","Europe",72,32,1,34,NA,5
"P. kernoviae","Quercus","Northern Europe","Europe",4,4,NA,NA,NA,NA
"P. kernoviae","Rhododendron","Northern Europe","Europe",544,431,6,93,NA,14
"P. kernoviae","Sequoiadendron","Northern Europe","Europe",1,NA,NA,1,NA,NA
"P. kernoviae","Sorbus","Northern Europe","Europe",1,1,NA,NA,NA,NA
