"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus",435,2,363,70,"Yes"
"P. austrocedri","Austrocedrus",27,0,0,27,NA
"P. austrocedri","Cupressus",2,0,0,2,"Yes"
"P. austrocedri","Ginkgo",2,0,0,2,NA
"P. austrocedri","Juniperus",3,0,0,3,"Yes"
"P. austrocedri","Metasequoia",2,0,0,2,NA
"P. austrocedri","Pinus",2,0,0,2,NA
"P. austrocedri","Thuja",1,0,0,1,NA
"P. cinnamomi","Abelia",4,0,0,4,NA
"P. cinnamomi","Abies",61,0,0,61,NA
"P. cinnamomi","Acacia",36,0,0,36,NA
"P. cinnamomi","Acer",9,0,0,9,NA
"P. cinnamomi","Acrotriche",3,0,0,3,NA
"P. cinnamomi","Actinidia",21,0,0,21,NA
"P. cinnamomi","Actinodium",2,0,0,2,NA
"P. cinnamomi","Adenanthos",6,0,0,6,NA
"P. cinnamomi","Agathis",18,0,0,18,NA
"P. cinnamomi","Agathosma",8,0,0,8,NA
"P. cinnamomi","Agonis",6,0,0,6,NA
"P. cinnamomi","Allium",3,0,0,3,NA
"P. cinnamomi","Allocasuarina",22,0,0,22,NA
"P. cinnamomi","Alnus",4,0,0,4,NA
"P. cinnamomi","Alstroemeria",1,0,0,1,NA
"P. cinnamomi","Amperea",3,0,0,3,NA
"P. cinnamomi","Ananas",179,0,0,179,NA
"P. cinnamomi","Andersonia",1,0,0,1,NA
"P. cinnamomi","Andromeda",2,0,0,2,NA
"P. cinnamomi","Angophora",8,0,0,8,NA
"P. cinnamomi","Anigozanthos",2,0,0,2,NA
"P. cinnamomi","Antidesma",2,0,0,2,NA
"P. cinnamomi","Antirrhinum",1,0,0,1,NA
"P. cinnamomi","Aotus",9,0,0,9,NA
"P. cinnamomi","Araucaria",14,1,1,12,NA
"P. cinnamomi","Arbutus",6,0,0,6,NA
"P. cinnamomi","Archidasyphyllum",2,0,0,2,NA
"P. cinnamomi","Archontophoenix",1,0,0,1,NA
"P. cinnamomi","Arctostaphylos",8,0,0,8,NA
"P. cinnamomi","Aristotelia",4,0,0,4,NA
"P. cinnamomi","Astelia",4,0,0,4,NA
"P. cinnamomi","Aucuba",4,0,0,4,"Yes"
