"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus cordata",1,NA,NA,1,NA
"P. alni","Alnus glutinosa",408,2,352,54,"Yes"
"P. alni","Alnus incana",11,NA,6,5,NA
"P. austrocedri","Austrocedrus chilensis",27,NA,NA,27,NA
"P. austrocedri","Cupressus sempervirens",2,NA,NA,2,NA
"P. austrocedri","Ginkgo biloba",2,NA,NA,2,NA
"P. austrocedri","Juniperus communis",5,NA,NA,5,"Yes"
"P. austrocedri","Juniperus horizontalis",1,NA,NA,1,"Yes"
"P. austrocedri","Metasequoia glyptostroboides",2,NA,NA,2,NA
"P. austrocedri","Pinus nigra",2,NA,NA,2,NA
"P. austrocedri","Thuja occidentalis",1,NA,NA,1,NA
"P. cinnamomi","Abelia parvifolia",2,NA,NA,2,NA
"P. cinnamomi","Abelia schumannii",2,NA,NA,2,NA
"P. cinnamomi","Abies alba",7,NA,NA,7,NA
"P. cinnamomi","Abies balsamea",6,NA,NA,6,NA
"P. cinnamomi","Abies concolor",7,NA,NA,7,NA
"P. cinnamomi","Abies fraseri",15,NA,NA,15,NA
"P. cinnamomi","Abies nordmanniana",14,NA,NA,14,NA
"P. cinnamomi","Abies pinsapo",3,NA,NA,3,NA
"P. cinnamomi","Abies procera",4,NA,NA,4,NA
"P. cinnamomi","Abies sibirica",2,NA,NA,2,NA
"P. cinnamomi","Acacia baileyana",4,NA,NA,4,NA
"P. cinnamomi","Acacia celsa",1,NA,NA,1,NA
"P. cinnamomi","Acacia dealbata",2,NA,NA,2,NA
"P. cinnamomi","Acacia hamiltoniana",1,NA,NA,1,NA
"P. cinnamomi","Acacia huegelii",3,NA,NA,3,NA
"P. cinnamomi","Acacia koa",1,NA,NA,1,NA
"P. cinnamomi","Acacia melanoxylon",2,NA,NA,2,NA
"P. cinnamomi","Acacia myrtifolia",5,NA,NA,5,NA
"P. cinnamomi","Acacia simsii",1,NA,NA,1,NA
"P. cinnamomi","Acacia suaveolens",1,NA,NA,1,NA
"P. cinnamomi","Acacia ulicifolia",1,NA,NA,1,NA
"P. cinnamomi","Acacia verticillata",7,NA,NA,7,NA
"P. cinnamomi","Acacia vestita",1,NA,NA,1,NA
"P. cinnamomi","Acer negundo",2,NA,NA,2,NA
"P. cinnamomi","Acer palmatum",2,NA,NA,2,NA
"P. cinnamomi","Acer rubrum",2,NA,NA,2,NA
"P. cinnamomi","Acer saccharum",2,NA,NA,2,NA
"P. cinnamomi","Acrotriche serrulata",3,NA,NA,3,NA
"P. cinnamomi","Actinidia chinensis",20,NA,NA,20,NA
"P. cinnamomi","Actinodium cunninghamii",2,NA,NA,2,NA
"P. cinnamomi","Adenanthos barbiger",1,NA,NA,1,NA
"P. cinnamomi","Adenanthos barbigerus",1,NA,NA,1,NA
"P. cinnamomi","Adenanthos cuneatus",1,NA,NA,1,NA
"P. cinnamomi","Adenanthos obovatus",2,NA,NA,2,NA
"P. cinnamomi","Agathis australis",18,NA,NA,18,NA
"P. cinnamomi","Agathosma betulina",4,NA,NA,4,NA
"P. cinnamomi","Agathosma crenulata",4,NA,NA,4,NA
"P. cinnamomi","Agonis flexuosa",4,NA,NA,4,NA
"P. cinnamomi","Agonis theiformis",2,NA,NA,2,NA
"P. cinnamomi","Allium cepa",3,NA,NA,3,NA
"P. cinnamomi","Allocasuarina fraseriana",7,NA,NA,7,NA
"P. cinnamomi","Allocasuarina littoralis",5,NA,NA,5,NA
"P. cinnamomi","Allocasuarina torulosa",4,NA,NA,4,NA
"P. cinnamomi","Allocasuarina verticillata",4,NA,NA,4,NA
"P. cinnamomi","Alnus firma",2,NA,NA,2,NA
"P. cinnamomi","Alnus glutinosa",2,NA,NA,2,NA
"P. cinnamomi","Amperea ericoides",2,NA,NA,2,NA
"P. cinnamomi","Amperea xiphoclada",1,NA,NA,1,NA
"P. cinnamomi","Ananas comosus",177,NA,NA,177,NA
"P. cinnamomi","Andersonia caerulea",1,NA,NA,1,NA
"P. cinnamomi","Andromeda polifolia",2,NA,NA,2,NA
"P. cinnamomi","Angophora costata",3,NA,NA,3,NA
"P. cinnamomi","Angophora hispida",3,NA,NA,3,NA
"P. cinnamomi","Antidesma pulvinatum",2,NA,NA,2,NA
"P. cinnamomi","Antirrhinum majus",1,NA,NA,1,NA
"P. cinnamomi","Aotus ericoides",5,NA,NA,5,NA
"P. cinnamomi","Aotus passerinoides",2,NA,NA,2,NA
"P. cinnamomi","Araucaria angustifolia",3,NA,1,2,NA
"P. cinnamomi","Araucaria araucana",1,1,NA,NA,NA
"P. cinnamomi","Araucaria bidwillii",1,NA,NA,1,NA
"P. cinnamomi","Araucaria columnaris",3,NA,NA,3,NA
