"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus alnobetula",1,0,0,1,"Yes"
"P. alni","Alnus glutinosa",2,0,1,1,"Yes"
"P. austrocedri","Callitropsis nootkatensis",1,0,0,1,"Yes"
"P. austrocedri","Chaenomeles × superba",1,1,0,0,"Yes"
"P. austrocedri","Chamaecyparis lawsoniana",3,2,0,1,"Yes"
"P. austrocedri","Fagus sylvatica",1,1,0,0,"Yes"
"P. austrocedri","Juniperus chinensis",3,2,1,0,"Yes"
"P. austrocedri","Juniperus communis",309,3,297,9,"Yes"
"P. austrocedri","Juniperus horizontalis",4,3,1,0,"Yes"
"P. austrocedri","Juniperus squamata",3,1,2,0,"Yes"
"P. austrocedri","× hesperotropsis leylandii",2,2,0,0,"Yes"
"P. cinnamomi","Calluna vulgaris",2,0,0,2,"Yes"
"P. cinnamomi","Castanea sativa",1,1,0,0,"Yes"
"P. cinnamomi","Chamaecyparis lawsoniana",2,2,0,0,"Yes"
"P. cinnamomi","Erica cinerea",2,2,0,0,"Yes"
"P. cinnamomi","Fagus sylvatica",1,1,0,0,"Yes"
"P. cinnamomi","Ilex aquifolium",1,1,0,0,"Yes"
"P. cinnamomi","Juniperus squamata",1,1,0,0,"Yes"
"P. cinnamomi","Laurus nobilis",2,2,0,0,"Yes"
"P. cinnamomi","Pericallis cruenta",1,0,0,1,"Yes"
"P. cinnamomi","Physocarpus opulifolius",1,1,0,0,"Yes"
"P. cinnamomi","Pinus contorta",1,1,0,0,"Yes"
"P. cinnamomi","Prunus lusitanica",1,1,0,0,"Yes"
"P. cinnamomi","Rhododendron formosum",1,1,0,0,"Yes"
"P. cinnamomi","Sequoiadendron giganteum",1,1,0,0,"Yes"
"P. cinnamomi","Tasmannia lanceolata",1,1,0,0,"Yes"
"P. cinnamomi","Taxus baccata",3,3,0,0,"Yes"
"P. cinnamomi","Tsuga canadensis",1,1,0,0,"Yes"
"P. cinnamomi","Tsuga heterophylla",1,1,0,0,"Yes"
"P. cinnamomi","Vaccinium corymbosum",1,1,0,0,"Yes"
"P. kernoviae","Fagus sylvatica",1,0,1,0,"Yes"
"P. pluvialis","Pseudotsuga menziesii",2,0,2,0,"Yes"
"P. pluvialis","Tsuga heterophylla",28,0,28,0,"Yes"
"P. pseudosyringae","Betula pubescens",1,1,0,0,"Yes"
"P. pseudosyringae","Fagus sylvatica",5,0,3,2,"Yes"
"P. pseudosyringae","Magnolia salicifolia",2,0,2,0,"Yes"
"P. pseudosyringae","Pieris floribunda",1,0,1,0,"Yes"
"P. ramorum","Abies procera",1,0,1,0,"Yes"
"P. ramorum","Chamaecyparis lawsoniana",2,0,0,2,"Yes"
"P. ramorum","Fagus sylvatica",1,0,1,0,"Yes"
"P. ramorum","Garrya elliptica",1,0,1,0,"Yes"
"P. ramorum","Kalmia latifolia",1,1,0,0,"Yes"
"P. ramorum","Larix kaempferi",3,0,1,2,"Yes"
"P. ramorum","Magnolia stellata",1,1,0,0,"Yes"
"P. ramorum","Picea sitchensis",25,0,25,0,"Yes"
"P. ramorum","Pieris formosa",4,0,4,0,"Yes"
"P. ramorum","Pieris japonica",2,0,2,0,"Yes"
"P. ramorum","Rhododendron ponticum",2,0,1,1,"Yes"
"P. ramorum","Tsuga heterophylla",10,0,10,0,"Yes"
"P. ramorum","Vaccinium myrtillus",2,0,2,0,"Yes"
"P. ramorum","Viburnum plicatum",3,0,3,0,"Yes"
"P. ramorum","Viburnum tinus",3,1,1,1,"Yes"
"P. ramorum","Viburnum × bodnantense",1,0,1,0,"Yes"
