"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus alnobetula",1,NA,NA,1,"Yes"
"P. alni","Alnus glutinosa",2,NA,1,1,"Yes"
"P. austrocedri","Callitropsis nootkatensis",1,NA,NA,1,"Yes"
"P. austrocedri","Chaenomeles × superba",1,1,NA,NA,"Yes"
"P. austrocedri","Chamaecyparis lawsoniana",3,2,NA,1,"Yes"
"P. austrocedri","Fagus sylvatica",1,1,NA,NA,"Yes"
"P. austrocedri","Juniperus chinensis",3,2,1,NA,"Yes"
"P. austrocedri","Juniperus communis",309,3,297,9,"Yes"
"P. austrocedri","Juniperus horizontalis",4,3,1,NA,"Yes"
"P. austrocedri","Juniperus squamata",3,1,2,NA,"Yes"
"P. austrocedri","× hesperotropsis leylandii",2,2,NA,NA,"Yes"
"P. cinnamomi","Calluna vulgaris",2,NA,NA,2,"Yes"
"P. cinnamomi","Castanea sativa",1,1,NA,NA,"Yes"
"P. cinnamomi","Chamaecyparis lawsoniana",2,2,NA,NA,"Yes"
"P. cinnamomi","Erica cinerea",2,2,NA,NA,"Yes"
"P. cinnamomi","Fagus sylvatica",1,1,NA,NA,"Yes"
"P. cinnamomi","Ilex aquifolium",1,1,NA,NA,"Yes"
"P. cinnamomi","Juniperus squamata",1,1,NA,NA,"Yes"
"P. cinnamomi","Laurus nobilis",2,2,NA,NA,"Yes"
"P. cinnamomi","Pericallis cruenta",1,NA,NA,1,"Yes"
"P. cinnamomi","Physocarpus opulifolius",1,1,NA,NA,"Yes"
"P. cinnamomi","Pinus contorta",1,1,NA,NA,"Yes"
"P. cinnamomi","Prunus lusitanica",1,1,NA,NA,"Yes"
"P. cinnamomi","Rhododendron formosum",1,1,NA,NA,"Yes"
"P. cinnamomi","Sequoiadendron giganteum",1,1,NA,NA,"Yes"
"P. cinnamomi","Tasmannia lanceolata",1,1,NA,NA,"Yes"
"P. cinnamomi","Taxus baccata",3,3,NA,NA,"Yes"
"P. cinnamomi","Tsuga canadensis",1,1,NA,NA,"Yes"
"P. cinnamomi","Tsuga heterophylla",1,1,NA,NA,"Yes"
"P. cinnamomi","Vaccinium corymbosum",1,1,NA,NA,"Yes"
"P. kernoviae","Fagus sylvatica",1,NA,1,NA,"Yes"
"P. pluvialis","Pseudotsuga menziesii",2,NA,2,NA,"Yes"
"P. pluvialis","Tsuga heterophylla",28,NA,28,NA,"Yes"
"P. pseudosyringae","Betula pubescens",1,1,NA,NA,"Yes"
"P. pseudosyringae","Fagus sylvatica",5,NA,3,2,"Yes"
"P. pseudosyringae","Magnolia salicifolia",2,NA,2,NA,"Yes"
"P. pseudosyringae","Pieris floribunda",1,NA,1,NA,"Yes"
"P. ramorum","Abies procera",1,NA,1,NA,"Yes"
"P. ramorum","Chamaecyparis lawsoniana",2,NA,NA,2,"Yes"
"P. ramorum","Fagus sylvatica",1,NA,1,NA,"Yes"
"P. ramorum","Garrya elliptica",1,NA,1,NA,"Yes"
"P. ramorum","Kalmia latifolia",1,1,NA,NA,"Yes"
"P. ramorum","Larix kaempferi",3,NA,1,2,"Yes"
"P. ramorum","Magnolia stellata",1,1,NA,NA,"Yes"
"P. ramorum","Picea sitchensis",25,NA,25,NA,"Yes"
"P. ramorum","Pieris formosa",4,NA,4,NA,"Yes"
"P. ramorum","Pieris japonica",2,NA,2,NA,"Yes"
"P. ramorum","Rhododendron ponticum",2,NA,1,1,"Yes"
"P. ramorum","Tsuga heterophylla",10,NA,10,NA,"Yes"
"P. ramorum","Vaccinium myrtillus",2,NA,2,NA,"Yes"
"P. ramorum","Viburnum plicatum",3,NA,3,NA,"Yes"
"P. ramorum","Viburnum tinus",3,1,1,1,"Yes"
"P. ramorum","Viburnum × bodnantense",1,NA,1,NA,"Yes"
