"Phytophthora","Host","Total","Trade","widerEnvironment","Unknown","PxH in Scotland?"
"P. alni","Alnus",42,0,13,29,"Yes"
"P. alni","Ceanothus",1,0,1,0,NA
"P. alni","Taxus",1,0,1,0,NA
"P. austrocedri","Austrocedrus",1,0,1,0,NA
"P. austrocedri","Callitropsis",4,0,0,4,"Yes"
"P. austrocedri","Chaenomeles",1,1,0,0,"Yes"
"P. austrocedri","Chamaecyparis",29,22,4,3,"Yes"
"P. austrocedri","Cupressus",1,1,0,0,"Yes"
"P. austrocedri","Fagus",1,1,0,0,"Yes"
"P. austrocedri","Hesperotropsis",10,10,0,0,"Yes"
"P. austrocedri","Juniperus",526,55,426,45,"Yes"
"P. austrocedri","Microbiota",1,0,0,1,NA
"P. austrocedri","Prunus",1,1,0,0,NA
"P. cinnamomi","Abies",1,1,0,0,NA
"P. cinnamomi","Acer",2,0,0,2,NA
"P. cinnamomi","Alnus",4,1,1,2,NA
"P. cinnamomi","Alstroemeria",2,0,1,1,NA
"P. cinnamomi","Alternanthera",2,0,1,1,NA
"P. cinnamomi","Antirrhinum",2,0,0,2,NA
"P. cinnamomi","Arbutus",4,0,2,2,NA
"P. cinnamomi","Aucuba",5,1,2,2,"Yes"
"P. cinnamomi","Banksia",1,0,1,0,NA
"P. cinnamomi","Berberis",3,0,1,2,NA
"P. cinnamomi","Betula",1,0,1,0,NA
"P. cinnamomi","Buxus",1,0,1,0,NA
"P. cinnamomi","Calluna",20,2,12,6,"Yes"
"P. cinnamomi","Camellia",8,6,1,1,NA
"P. cinnamomi","Carpinus",1,0,1,0,NA
"P. cinnamomi","Castanea",23,1,11,11,"Yes"
"P. cinnamomi","Cephalotaxus",1,0,0,1,NA
"P. cinnamomi","Chaenomeles",3,0,1,2,NA
"P. cinnamomi","Chamaecyparis",9,6,3,0,"Yes"
"P. cinnamomi","Choisya",4,1,2,1,NA
"P. cinnamomi","Cinnamomum",2,0,2,0,NA
"P. cinnamomi","Cornus",5,1,2,2,NA
"P. cinnamomi","Corylus",1,1,0,0,NA
"P. cinnamomi","Cotinus",1,1,0,0,NA
"P. cinnamomi","Crocus",1,0,1,0,NA
"P. cinnamomi","Cupressus",3,3,0,0,NA
"P. cinnamomi","Embothrium",1,0,1,0,NA
"P. cinnamomi","Erica",16,4,2,10,"Yes"
"P. cinnamomi","Euphorbia",3,1,1,1,NA
"P. cinnamomi","Fagus",10,3,0,7,"Yes"
"P. cinnamomi","Fragaria",1,0,0,1,"Yes"
"P. cinnamomi","Gerbera",1,1,0,0,"Yes"
"P. cinnamomi","Hesperotropsis",1,1,0,0,NA
"P. cinnamomi","Hibiscus",2,0,1,1,NA
"P. cinnamomi","Ilex",4,4,0,0,"Yes"
"P. cinnamomi","Juniperus",6,3,1,2,"Yes"
"P. cinnamomi","Kalmia",4,4,0,0,"Yes"
"P. cinnamomi","Laburnum",3,0,1,2,NA
"P. cinnamomi","Laurus",8,6,2,0,"Yes"
"P. cinnamomi","Lavandula",6,2,2,2,NA
"P. cinnamomi","Magnolia",2,1,1,0,NA
"P. cinnamomi","Malus",3,0,1,2,NA
"P. cinnamomi","Morus",2,0,1,1,NA
"P. cinnamomi","Myrtus",5,1,2,2,NA
"P. cinnamomi","Osmanthus",1,1,0,0,"Yes"
"P. cinnamomi","Pericallis",3,0,0,3,"Yes"
"P. cinnamomi","Physocarpus",1,1,0,0,"Yes"
"P. cinnamomi","Pieris",6,6,0,0,"Yes"
"P. cinnamomi","Pinus",5,2,0,3,"Yes"
"P. cinnamomi","Populus",2,0,0,2,NA
"P. cinnamomi","Prunus",5,2,3,0,"Yes"
"P. cinnamomi","Pseudotsuga",1,0,1,0,NA
"P. cinnamomi","Quercus",5,1,1,3,NA
"P. cinnamomi","Rhododendron",26,6,14,6,"Yes"
"P. cinnamomi","Ribes",3,0,1,2,NA
"P. cinnamomi","Rosa",6,0,3,3,NA
"P. cinnamomi","Rubus",1,0,1,0,NA
"P. cinnamomi","Sequoiadendron",1,1,0,0,"Yes"
"P. cinnamomi","Syringa",1,1,0,0,NA
"P. cinnamomi","Tasmannia",1,1,0,0,"Yes"
"P. cinnamomi","Taxodium",1,0,1,0,NA
"P. cinnamomi","Taxus",129,16,111,2,"Yes"
"P. cinnamomi","Telopea",3,0,1,2,NA
"P. cinnamomi","Tsuga",2,2,0,0,"Yes"
"P. cinnamomi","Vaccinium",7,6,2,0,"Yes"
"P. cinnamomi","Veronica",2,1,1,0,NA
"P. cinnamomi","Viburnum",7,1,5,1,NA
"P. cinnamomi","Vicia",1,0,0,1,NA
"P. cinnamomi","Wisteria",4,0,2,2,NA
"P. kernoviae","Aesculus",1,0,1,0,NA
"P. kernoviae","Berberis",1,0,1,0,NA
"P. kernoviae","Camellia",3,1,2,0,NA
"P. kernoviae","Castanea",1,0,1,0,NA
"P. kernoviae","Drimys",58,4,53,4,NA
"P. kernoviae","Fagus",11,0,1,10,"Yes"
"P. kernoviae","Kalmia",1,0,1,0,NA
"P. kernoviae","Leucothoe",1,1,0,0,NA
"P. kernoviae","Magnolia",19,6,10,3,"Yes"
"P. kernoviae","Myrtus",1,0,1,0,NA
"P. kernoviae","Pieris",72,6,66,5,"Yes"
"P. kernoviae","Quercus",4,0,4,0,NA
"P. kernoviae","Rhododendron",544,27,512,16,"Yes"
"P. kernoviae","Sequoiadendron",1,0,1,0,NA
"P. kernoviae","Sorbus",1,1,0,0,NA
"P. kernoviae","Vaccinium",116,0,109,7,NA
"P. pluvialis","Pseudotsuga",3,0,3,0,"Yes"
"P. pluvialis","Tsuga",30,0,29,1,"Yes"
"P. pseudosyringae","Acer",2,0,0,2,"Yes"
"P. pseudosyringae","Betula",2,2,0,0,"Yes"
"P. pseudosyringae","Fagus",16,0,7,9,"Yes"
"P. pseudosyringae","Ilex",1,0,1,0,NA
"P. pseudosyringae","Kalmia",1,1,0,0,"Yes"
"P. pseudosyringae","Larix",3,0,3,0,"Yes"
"P. pseudosyringae","Magnolia",3,0,3,0,"Yes"
"P. pseudosyringae","Nothofagus",25,0,3,22,"Yes"
"P. pseudosyringae","Pieris",1,0,1,0,"Yes"
"P. pseudosyringae","Quercus",6,0,0,6,"Yes"
"P. pseudosyringae","Rhododendron",2,2,0,0,"Yes"
"P. pseudosyringae","Tilia",1,0,0,1,NA
"P. pseudosyringae","Vaccinium",55,1,47,7,NA
"P. pseudosyringae","Veronica",1,1,0,0,NA
"P. ramorum","Abies",4,1,2,2,"Yes"
"P. ramorum","Acer",9,0,5,4,NA
"P. ramorum","Aesculus",2,0,0,2,NA
"P. ramorum","Agarista",2,1,0,1,NA
"P. ramorum","Arbutus",1,0,1,0,NA
"P. ramorum","Aucuba",2,0,2,0,NA
"P. ramorum","Berberis",1,1,1,0,NA
"P. ramorum","Betula",1,0,0,1,NA
"P. ramorum","Camellia",197,135,49,17,NA
"P. ramorum","Castanea",82,4,73,8,NA
"P. ramorum","Castanopsis",1,0,0,1,NA
"P. ramorum","Cedrus",1,0,1,0,NA
"P. ramorum","Cephalotaxus",1,0,0,1,NA
"P. ramorum","Chaenomeles",1,0,0,1,NA
"P. ramorum","Chamaecyparis",7,0,1,6,"Yes"
"P. ramorum","Choisya",2,2,0,0,NA
"P. ramorum","Chrysojasminum",1,1,1,0,NA
"P. ramorum","Cinnamomum",2,1,2,0,NA
"P. ramorum","Cornus",18,3,17,0,NA
"P. ramorum","Corylopsis",1,0,1,0,NA
"P. ramorum","Cotoneaster",3,1,3,0,NA
"P. ramorum","Crataegus",1,0,1,0,NA
"P. ramorum","Daphne",1,1,1,0,NA
"P. ramorum","Drimys",8,1,5,2,NA
"P. ramorum","Elaeagnus",1,0,1,0,NA
"P. ramorum","Euonymus",1,1,1,0,NA
"P. ramorum","Exochorda",1,0,1,0,NA
"P. ramorum","Fagus",18,0,6,12,"Yes"
"P. ramorum","Fothergilla",2,0,2,0,NA
"P. ramorum","Fraxinus",2,0,0,2,NA
"P. ramorum","Garrya",7,2,5,0,"Yes"
"P. ramorum","Gaultheria",5,3,2,0,NA
"P. ramorum","Griselinia",4,0,1,3,NA
"P. ramorum","Hamamelis",35,9,21,9,NA
"P. ramorum","Ilex",10,3,7,0,NA
"P. ramorum","Kalmia",70,31,46,3,"Yes"
"P. ramorum","Larix",4061,0,4047,14,"Yes"
"P. ramorum","Laurus",4,3,1,0,NA
"P. ramorum","Leucothoe",15,9,2,4,NA
"P. ramorum","Ligustrum",1,0,1,0,NA
"P. ramorum","Lithocarpus",1,0,1,0,NA
"P. ramorum","Magnolia",317,152,220,12,"Yes"
"P. ramorum","Nephrolepis",1,0,1,0,NA
"P. ramorum","Nothofagus",5,0,1,4,"Yes"
"P. ramorum","Osmanthus",13,6,2,5,"Yes"
"P. ramorum","Parrotia",8,1,4,3,NA
"P. ramorum","Photinia",4,3,1,0,NA
"P. ramorum","Picea",25,0,25,0,"Yes"
"P. ramorum","Pieris",240,75,173,19,"Yes"
"P. ramorum","Pinus",1,1,0,0,NA
"P. ramorum","Pittosporum",1,1,0,0,NA
"P. ramorum","Platanus",1,0,1,0,NA
"P. ramorum","Prunus",4,1,3,0,NA
"P. ramorum","Quercus",65,20,43,17,NA
"P. ramorum","Rhododendron",4484,943,3641,126,"Yes"
"P. ramorum","Ribes",2,1,1,0,NA
"P. ramorum","Rosa",3,0,2,1,NA
"P. ramorum","Sarcococca",2,0,0,2,NA
"P. ramorum","Schima",2,0,0,2,NA
"P. ramorum","Sequoia",3,0,3,0,NA
"P. ramorum","Skimmia",1,1,0,0,NA
"P. ramorum","Sorbus",3,0,1,2,NA
"P. ramorum","Stranvaesia",2,1,2,0,NA
"P. ramorum","Syringa",4,1,1,2,NA
"P. ramorum","Taxus",3,1,1,1,NA
"P. ramorum","Tsuga",10,0,10,0,"Yes"
"P. ramorum","Umbellularia",1,1,1,0,NA
"P. ramorum","Vaccinium",124,6,117,2,"Yes"
"P. ramorum","Viburnum",478,264,154,83,"Yes"
"P. ramorum","Viscum",1,0,1,0,NA
