"Genus","Phytophthora","Eng_wEnv","Eng_trade","Wal_wEnv","Wal_trade","Scot_wEnv","Scot_trade","N.I_wEnv","N.I_trade","unknown_wEnv","unknown_trade","UK_total","Eng_total","Wal_total","Scot_total","N.I_total"
"Alnus","P. × multiformis",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0
"Alnus","P. alni",8,0,1,0,1,0,0,0,3,0,42,16,1,3,0
"Alnus","P. cinnamomi",1,1,0,0,0,0,0,0,0,0,4,2,0,0,0
"Alnus","P. plurivora",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Alnus","P. siskiyouensis",0,0,0,0,0,0,0,0,0,0,14,10,0,0,0
"Alnus","P. syringae",0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
"Alnus","P. uniformis",1,0,0,1,0,0,0,0,0,0,2,1,1,0,0
"Alnus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juniperus","P. × cambivora",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. austrocedri",107,42,3,3,311,10,0,0,5,0,526,162,9,331,0
"Juniperus","P. cactorum",2,0,0,0,0,0,0,0,0,0,2,2,0,0,0
"Juniperus","P. castanetorum",0,2,0,1,0,3,0,0,0,0,6,2,1,3,0
"Juniperus","P. cinnamomi",1,2,0,0,0,1,0,0,0,0,6,3,0,1,0
"Juniperus","P. citrophthora",0,2,0,0,0,1,0,0,0,0,3,2,0,1,0
"Juniperus","P. cryptogea",1,1,0,0,0,0,0,0,0,0,4,2,0,0,0
"Juniperus","P. foliorum",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. gonapodyides",1,11,0,1,0,9,0,0,0,0,22,12,1,9,0
"Juniperus","P. hibernalis",0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
"Juniperus","P. idaei",0,0,0,0,0,3,0,0,0,0,3,0,0,3,0
"Juniperus","P. lacustris",0,0,0,0,0,4,0,0,0,0,4,0,0,4,0
"Juniperus","P. lateralis",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. megasperma",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. obscura",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. pachypleura",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. plurivora",3,2,0,0,0,1,0,0,0,0,8,5,0,1,0
"Juniperus","P. primulae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. pseudocryptogea",0,3,0,0,0,2,0,0,0,0,5,3,0,2,0
"Juniperus","P. pseudotsugae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus","P. psychrophila",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. quercina",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus","P. syringae",0,3,0,0,0,5,0,0,0,0,8,3,0,5,0
"Juniperus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larix","P. cactorum",0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"Larix","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Larix","P. plurivora",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Larix","P. pseudosyringae",0,0,0,0,3,0,0,0,0,0,3,0,0,3,0
"Larix","P. ramorum",860,0,1,0,3186,0,0,0,0,0,4061,862,1,3188,4
"Larix","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nothofagus","P. × cambivora",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nothofagus","P. plurivora",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Nothofagus","P. pseudosyringae",0,0,0,0,2,0,0,0,1,0,25,2,0,2,0
"Nothofagus","P. ramorum",1,0,0,0,0,0,0,0,0,0,5,2,0,1,0
"Nothofagus","P. syringae",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Nothofagus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pinus","P. × cambivora",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Pinus","P. cactorum",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Pinus","P. chlamydospora",1,1,0,0,0,0,0,0,0,0,2,2,0,0,0
"Pinus","P. cinnamomi",0,1,0,0,0,1,0,0,0,0,5,1,0,1,0
"Pinus","P. cryptogea",0,3,0,3,0,1,0,0,0,0,7,3,3,1,0
"Pinus","P. foliorum",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pinus","P. hibernalis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus","P. idaei",0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
"Pinus","P. kelmanii",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
"Pinus","P. macrochlamydospora",0,3,0,0,0,2,0,0,0,0,5,3,0,2,0
"Pinus","P. megasperma",0,1,0,1,0,0,0,0,0,0,2,1,1,0,0
"Pinus","P. obscura",0,2,0,0,0,0,0,0,0,0,2,2,0,0,0
"Pinus","P. plurivora",1,1,0,0,0,1,0,0,0,0,4,2,0,1,0
"Pinus","P. pseudocryptogea",0,4,0,3,0,1,0,0,0,0,8,4,3,1,0
"Pinus","P. pseudotsugae",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus","P. ramorum",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus","P. syringae",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus","P. uniformis",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Populus","P. cinnamomi",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Populus","P. idaei",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Populus","P. lacustris",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Populus","P. megasperma",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Populus","Unspecified species",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
