"Key_Species","Phytophthora","Eng_wEnv","Eng_trade","Wal_wEnv","Wal_trade","Scot_wEnv","Scot_trade","N.I_wEnv","N.I_trade","unknown_wEnv","unknown_trade","UK_total","Eng_total","Wal_total","Scot_total","N.I_total"
"Alnus glutinosa","P. × multiformis",0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
"Alnus glutinosa","P. alni",5,0,0,0,1,0,0,0,3,0,26,12,0,2,0
"Alnus glutinosa","P. plurivora",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Alnus glutinosa","P. syringae",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Alnus incana","P. alni",2,0,0,0,0,0,0,0,0,0,3,3,0,0,0
"Alnus incana","P. cinnamomi",1,1,0,0,0,0,0,0,0,0,4,2,0,0,0
"Alnus incana","P. siskiyouensis",0,0,0,0,0,0,0,0,0,0,6,3,0,0,0
"Juniperus communis","P. austrocedri",72,8,1,0,297,3,0,0,2,0,413,82,1,309,0
"Juniperus communis","P. castanetorum",0,2,0,0,0,2,0,0,0,0,4,2,0,2,0
"Juniperus communis","P. cinnamomi",1,0,0,0,0,0,0,0,0,0,3,1,0,0,0
"Juniperus communis","P. foliorum",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus communis","P. gonapodyides",0,3,0,0,0,0,0,0,0,0,3,3,0,0,0
"Juniperus communis","P. idaei",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Juniperus communis","P. lacustris",0,0,0,0,0,2,0,0,0,0,2,0,0,2,0
"Juniperus communis","P. obscura",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Juniperus communis","P. plurivora",0,0,0,0,0,1,0,0,0,0,3,0,0,1,0
"Juniperus communis","P. pseudocryptogea",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Juniperus communis","P. quercina",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Juniperus communis","P. syringae",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Juniperus communis","Unspecified species",19,9,0,0,0,9,0,0,0,0,39,30,0,9,0
"Larix decidua","P. cactorum",0,0,0,0,0,0,0,0,0,0,4,2,0,0,0
"Larix decidua","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Larix decidua","P. ramorum",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus sylvestris","P. × cambivora",0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
"Pinus sylvestris","P. cactorum",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Pinus sylvestris","P. chlamydospora",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus sylvestris","P. cryptogea",0,1,0,0,0,1,0,0,0,0,2,1,0,1,0
"Pinus sylvestris","P. hedraiandra",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Pinus sylvestris","P. idaei",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"Pinus sylvestris","P. macrochlamydospora",0,2,0,0,0,0,0,0,0,0,2,2,0,0,0
