"Key_Species","Phytophthora","Wal_wEnv","Wal_trade","Wal_total","UK_total"
"Juniperus communis","P. austrocedri",1,NA,1,413
"Pseudotsuga menziesii","P. foliorum",NA,1,1,3
"Pseudotsuga menziesii","P. megasperma",NA,1,1,2
"Pseudotsuga menziesii","P. obscura",NA,1,1,3
"Pseudotsuga menziesii","Unspecified species",NA,3,3,21
"Quercus ilex","P. ramorum",3,NA,3,56
"Quercus petraea","P. castanetorum",NA,1,1,1
"Quercus petraea","Unspecified species",NA,1,1,3
"Quercus robur","P. ramorum",1,NA,1,5
"Quercus robur","Unspecified species",NA,1,1,9
"Vaccinium myrtillus","P. pseudosyringae",10,NA,10,42
"Vaccinium myrtillus","P. ramorum",4,NA,4,93
"Vaccinium myrtillus","Unspecified species",5,NA,5,25
